Code,Stock,Type,Theoretical Quantity,Segment Area,Segment Code,Segment Name
BRAP4,BRADESPAR,PN N1,222604507,Segments and Sectors,IMAT,BM&FBOVESPA Basic Materials Index (IMAT)
BRKM5,BRASKEM,PNA N1,264642296,Segments and Sectors,IMAT,BM&FBOVESPA Basic Materials Index (IMAT)
CMIN3,CSNMINERACAO,ON N2,1216466645,Segments and Sectors,IMAT,BM&FBOVESPA Basic Materials Index (IMAT)
DXCO3,DEXCO,ON NM,272062873,Segments and Sectors,IMAT,BM&FBOVESPA Basic Materials Index (IMAT)
DEXP3,DEXXOS PAR,ON N1,53766810,Segments and Sectors,IMAT,BM&FBOVESPA Basic Materials Index (IMAT)
FESA4,FERBASA,PN EJ N1,40165900,Segments and Sectors,IMAT,BM&FBOVESPA Basic Materials Index (IMAT)
GGBR4,GERDAU,PN N1,1097534498,Segments and Sectors,IMAT,BM&FBOVESPA Basic Materials Index (IMAT)
GOAU4,GERDAU MET,PN N1,698275321,Segments and Sectors,IMAT,BM&FBOVESPA Basic Materials Index (IMAT)
RANI3,IRANI,ON NM,106103165,Segments and Sectors,IMAT,BM&FBOVESPA Basic Materials Index (IMAT)
KLBN11,KLABIN S/A,UNT N2,812994397,Segments and Sectors,IMAT,BM&FBOVESPA Basic Materials Index (IMAT)
PMAM3,PARANAPANEMA,ON NM,43403849,Segments and Sectors,IMAT,BM&FBOVESPA Basic Materials Index (IMAT)
CSNA3,SID NACIONAL,ON,642398790,Segments and Sectors,IMAT,BM&FBOVESPA Basic Materials Index (IMAT)
SUZB3,SUZANO S.A.,ON NM,726779281,Segments and Sectors,IMAT,BM&FBOVESPA Basic Materials Index (IMAT)
UNIP6,UNIPAR,PNB,44861678,Segments and Sectors,IMAT,BM&FBOVESPA Basic Materials Index (IMAT)
USIM3,USIMINAS,ON N1,161021803,Segments and Sectors,IMAT,BM&FBOVESPA Basic Materials Index (IMAT)
USIM5,USIMINAS,PNA N1,514680651,Segments and Sectors,IMAT,BM&FBOVESPA Basic Materials Index (IMAT)
VALE3,VALE,ON NM,489909783,Segments and Sectors,IMAT,BM&FBOVESPA Basic Materials Index (IMAT)
AALR3,ALLIAR,ON NM,43756055,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
