IBOV - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
ALPA4,ALPARGATAS,PN      N1,167963777,0.432,
ABEV3,AMBEV S/A,ON,4358814864,3.140,
AMER3,AMERICANAS,ON      NM,546064815,0.921,
ASAI3,ASSAI,ON      NM,794116430,0.679,
AZUL4,AZUL,PN      N2,327741172,0.515,
B3SA3,B3,ON      NM,6079530858,3.834,
BIDI4,BANCO INTER,PN      N2,186303277,0.174,
BIDI11,BANCO INTER,UNT     N2,477617336,1.377,
BPAN4,BANCO PAN,PN      N1,341124068,0.262,
BBSE3,BBSEGURIDADE,ON      NM,671629692,0.582,
BRML3,BR MALLS PAR,ON      NM,843728684,0.321,
BBDC3,BRADESCO,ON      N1,1378842305,1.095,
BBDC4,BRADESCO,PN      N1,4691427537,4.352,
BRAP4,BRADESPAR,PN      N1,222604507,0.611,
BBAS3,BRASIL,ON  EJ  NM,1420530937,1.870,
BRKM5,BRASKEM,PNA     N1,264642296,0.821,
BRFS3,BRF SA,ON      NM,811759800,0.857,
BPAC11,BTGP BANCO,UNT     N2,1301655996,1.589,
CRFB3,CARREFOUR BR,ON      NM,410988561,0.333,
CCRO3,CCR SA,ON      NM,1115693556,0.571,
CMIG4,CEMIG,PN      N1,1114214662,0.686,
HGTX3,CIA HERING,ON      NM,117608748,0.202,
CIEL3,CIELO,ON      NM,1144359228,0.129,
COGN3,COGNA ON,ON      NM,1847994874,0.251,
CPLE6,COPEL,PNB     N1,1563365506,0.480,
CSAN3,COSAN,ON      NM,1169237744,1.235,
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.232,
CVCB3,CVC BRASIL,ON      NM,224571661,0.214,
CYRE3,CYRELA REALT,ON      NM,281609283,0.248,
DXCO3,DEXCO,ON      NM,272062873,0.225,
ECOR3,ECORODOVIAS,ON      NM,339237914,0.146,
ELET3,ELETROBRAS,ON      N1,358028908,0.603,
ELET6,ELETROBRAS,PNB     N1,242987127,0.415,
EMBR3,EMBRAER,ON      NM,734558205,0.697,
ENBR3,ENERGIAS BR,ON      NM,231489471,0.187,
ENGI11,ENERGISA,UNT     N2,248542219,0.480,
ENEV3,ENEVA,ON      NM,1261568398,0.940,
EGIE3,ENGIE BRASIL,ON      NM,255217329,0.443,
EQTL3,EQUATORIAL,ON      NM,1010511085,1.158,
EZTC3,EZTEC,ON      NM,101618236,0.116,
FLRY3,FLEURY,ON      NM,303005900,0.330,
GGBR4,GERDAU,PN      N1,1097534498,1.294,
GOAU4,GERDAU MET,PN      N1,698275321,0.379,
GOLL4,GOL,PN      N2,167095214,0.149,
NTCO3,GRUPO NATURA,ON      NM,843870809,1.792,
HAPV3,HAPVIDA,ON      NM,1306939210,0.892,
HYPE3,HYPERA,ON      NM,411803359,0.617,
IGTA3,IGUATEMI,ON      NM,85748277,0.123,
GNDI3,INTERMEDICA,ON      NM,592114608,2.231,
IRBR3,IRBBRASIL RE,ON      NM,1255286531,0.295,
ITSA4,ITAUSA,PN      N1,4515559175,2.243,
ITUB4,ITAUUNIBANCO,PN      N1,4780002924,6.084,
JBSS3,JBS,ON      NM,1346828080,1.987,
JHSF3,JHSF PART,ON      NM,305915142,0.085,
KLBN11,KLABIN S/A,UNT     N2,812994397,0.870,
RENT3,LOCALIZA,ON      NM,593944309,1.518,
LCAM3,LOCAMERICA,ON      NM,324522975,0.366,
LWSA3,LOCAWEB,ON      NM,431783548,0.464,
LAME4,LOJAS AMERIC,PN      N1,853524256,0.214,
LREN3,LOJAS RENNER,ON      NM,889725318,1.480,
MGLU3,MAGAZ LUIZA,ON      NM,2820185158,2.062,
MRFG3,MARFRIG,ON  ED  NM,348234011,0.336,
CASH3,MELIUZ,ON  EB  NM,543488802,0.179,
BEEF3,MINERVA,ON      NM,242962308,0.107,
MRVE3,MRV,ON      NM,294643879,0.182,
MULT3,MULTIPLAN,ON      N2,273506645,0.246,
PCAR3,P.ACUCAR-CBD,ON      NM,156946474,0.189,
PETR3,PETROBRAS,ON      N2,3426385188,4.089,
PETR4,PETROBRAS,PN      N2,4566511125,5.323,
BRDT3,PETROBRAS BR,ON  EJ  NM,1164602565,1.331,
PRIO3,PETRORIO,ON      NM,839159130,0.783,
PETZ3,PETZ,ON      NM,258407844,0.309,
QUAL3,QUALICORP,ON      NM,283670037,0.291,
RADL3,RAIADROGASIL,ON      NM,1071076905,1.248,
RDOR3,REDE D OR,ON  EDJ NM,320214380,1.000,
RAIL3,RUMO S.A.,ON      NM,1216056103,0.960,
SBSP3,SABESP,ON      NM,340001934,0.533,
SANB11,SANTANDER BR,UNT,362703399,0.592,
CSNA3,SID NACIONAL,ON,642398790,0.897,
SULA11,SUL AMERICA,UNT     N2,284771028,0.358,
SUZB3,SUZANO S.A.,ON      NM,726779281,1.778,
TAEE11,TAESA,UNT     N2,218568234,0.364,
VIVT3,TELEF BRASIL,ON,443933052,0.823,
TIMS3,TIM,ON      NM,808619532,0.441,
TOTS3,TOTVS,ON      NM,480960677,0.834,
UGPA3,ULTRAPAR,ON      NM,1084337016,0.697,
USIM5,USIMINAS,PNA     N1,514680651,0.338,
VALE3,VALE,ON      NM,3380233503,13.274,
VIIA3,VIA,ON      NM,1595895585,0.619,
WEGE3,WEG,ON      NM,1484859030,2.646,
YDUQ3,YDUQS PART,ON      NM,300833122,0.335,
Total Theorethical Quantity,,,91231395716,100.000
Reductor,,,19677158.13597960
