IBXL - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
ABEV3,AMBEV S/A,ON,4358814864,3.526,
AMER3,AMERICANAS,ON      NM,546064815,1.034,
AZUL4,AZUL,PN      N2,327741172,0.578,
B3SA3,B3,ON      NM,6079530858,4.305,
BIDI11,BANCO INTER,UNT     N2,477617336,1.546,
BBSE3,BBSEGURIDADE,ON      NM,671629692,0.653,
BRML3,BR MALLS PAR,ON      NM,843728684,0.361,
BBDC4,BRADESCO,PN      N1,4691427537,4.887,
BRAP4,BRADESPAR,PN      N1,222604507,0.686,
BBAS3,BRASIL,ON  EJ  NM,1420530937,2.100,
BRFS3,BRF SA,ON      NM,811759800,0.962,
BPAC11,BTGP BANCO,UNT     N2,1301655996,1.785,
CIEL3,CIELO,ON      NM,1144359228,0.145,
COGN3,COGNA ON,ON      NM,1847994874,0.282,
CSAN3,COSAN,ON      NM,1169237744,1.387,
CVCB3,CVC BRASIL,ON      NM,224571661,0.240,
CYRE3,CYRELA REALT,ON      NM,281609283,0.278,
ELET3,ELETROBRAS,ON      N1,358028908,0.677,
EMBR3,EMBRAER,ON      NM,734558205,0.783,
EQTL3,EQUATORIAL,ON      NM,1010511085,1.300,
GGBR4,GERDAU,PN      N1,1097534498,1.453,
GOAU4,GERDAU MET,PN      N1,698275321,0.426,
GOLL4,GOL,PN      N2,167095214,0.167,
NTCO3,GRUPO NATURA,ON      NM,843870809,2.013,
HAPV3,HAPVIDA,ON      NM,1306939210,1.001,
GNDI3,INTERMEDICA,ON      NM,592114608,2.506,
IRBR3,IRBBRASIL RE,ON      NM,1255286531,0.332,
ITSA4,ITAUSA,PN      N1,4515559175,2.518,
ITUB4,ITAUUNIBANCO,PN      N1,4780002924,6.832,
JBSS3,JBS,ON      NM,1346828080,2.231,
KLBN11,KLABIN S/A,UNT     N2,812994397,0.977,
RENT3,LOCALIZA,ON      NM,593944309,1.705,
LWSA3,LOCAWEB,ON      NM,431783548,0.521,
LAME4,LOJAS AMERIC,PN      N1,853524256,0.241,
LREN3,LOJAS RENNER,ON      NM,889725318,1.662,
MGLU3,MAGAZ LUIZA,ON      NM,2820185158,2.315,
MRFG3,MARFRIG,ON  ED  NM,348234011,0.378,
MULT3,MULTIPLAN,ON      N2,273506645,0.277,
PETR3,PETROBRAS,ON      N2,3684060179,4.937,
PETR4,PETROBRAS,PN      N2,4566511125,5.977,
BRDT3,PETROBRAS BR,ON  EJ  NM,1164602565,1.495,
PRIO3,PETRORIO,ON      NM,839159130,0.879,
RAIL3,RUMO S.A.,ON      NM,1216056103,1.078,
CSNA3,SID NACIONAL,ON,642398790,1.008,
SUZB3,SUZANO S.A.,ON      NM,726779281,1.997,
TOTS3,TOTVS,ON      NM,480960677,0.936,
USIM5,USIMINAS,PNA     N1,514680651,0.379,
VALE3,VALE,ON      NM,5119956209,22.578,
VIIA3,VIA,ON      NM,1595895585,0.695,
WEGE3,WEG,ON      NM,1484859030,2.971,
Total Theorethical Quantity,,,74187300523,100.000
Reductor,,,106193740.22215866
