IBXX - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
ALPA4,ALPARGATAS,PN      N1,167963777,0.392,
ABEV3,AMBEV S/A,ON,4358814864,2.849,
AMER3,AMERICANAS,ON      NM,546064815,0.835,
ASAI3,ASSAI,ON      NM,794116430,0.617,
AZUL4,AZUL,PN      N2,327741172,0.467,
B3SA3,B3,ON      NM,6079530858,3.478,
BIDI4,BANCO INTER,PN      N2,186303277,0.158,
BIDI11,BANCO INTER,UNT     N2,477617336,1.249,
BPAN4,BANCO PAN,PN      N1,341124068,0.238,
BBSE3,BBSEGURIDADE,ON      NM,671629692,0.528,
BRML3,BR MALLS PAR,ON      NM,843728684,0.292,
BBDC3,BRADESCO,ON      N1,1378842305,0.994,
BBDC4,BRADESCO,PN      N1,4691427537,3.948,
BRAP4,BRADESPAR,PN      N1,222604507,0.554,
BBAS3,BRASIL,ON  EJ  NM,1420530937,1.696,
BRKM5,BRASKEM,PNA     N1,264642296,0.745,
BRFS3,BRF SA,ON      NM,811759800,0.778,
BPAC11,BTGP BANCO,UNT     N2,1301655996,1.442,
CRFB3,CARREFOUR BR,ON      NM,410988561,0.302,
CCRO3,CCR SA,ON      NM,1115693556,0.518,
CMIG4,CEMIG,PN      N1,1114214662,0.622,
CESP6,CESP,PNB     N1,182017689,0.178,
HGTX3,CIA HERING,ON      NM,117608748,0.184,
CIEL3,CIELO,ON      NM,1144359228,0.117,
COGN3,COGNA ON,ON      NM,1847994874,0.228,
CPLE6,COPEL,PNB     N1,1563365506,0.435,
CSAN3,COSAN,ON      NM,1169237744,1.120,
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.210,
CVCB3,CVC BRASIL,ON      NM,224571661,0.194,
CYRE3,CYRELA REALT,ON      NM,281609283,0.225,
DXCO3,DEXCO,ON      NM,272062873,0.204,
ECOR3,ECORODOVIAS,ON      NM,339237914,0.133,
ELET3,ELETROBRAS,ON      N1,358028908,0.547,
ELET6,ELETROBRAS,PNB     N1,242987127,0.376,
EMBR3,EMBRAER,ON      NM,734558205,0.632,
ENBR3,ENERGIAS BR,ON      NM,231489471,0.170,
ENGI11,ENERGISA,UNT     N2,248542219,0.435,
ENEV3,ENEVA,ON      NM,1261568398,0.853,
EGIE3,ENGIE BRASIL,ON      NM,255217329,0.402,
EQTL3,EQUATORIAL,ON      NM,1010511085,1.050,
EZTC3,EZTEC,ON      NM,101618236,0.106,
FLRY3,FLEURY,ON      NM,303005900,0.299,
GGBR4,GERDAU,PN      N1,1097534498,1.174,
GOAU4,GERDAU MET,PN      N1,698275321,0.344,
GOLL4,GOL,PN      N2,167095214,0.135,
NTCO3,GRUPO NATURA,ON      NM,843870809,1.626,
HAPV3,HAPVIDA,ON      NM,1306939210,0.809,
HYPE3,HYPERA,ON      NM,411803359,0.559,
IGTA3,IGUATEMI,ON      NM,85748277,0.111,
GNDI3,INTERMEDICA,ON      NM,592114608,2.025,
IRBR3,IRBBRASIL RE,ON      NM,1255286531,0.268,
ITSA4,ITAUSA,PN      N1,4515559175,2.035,
ITUB4,ITAUUNIBANCO,PN      N1,4780002924,5.520,
JBSS3,JBS,ON      NM,1346828080,1.802,
JHSF3,JHSF PART,ON      NM,305915142,0.077,
KLBN11,KLABIN S/A,UNT     N2,812994397,0.790,
LIGT3,LIGHT S/A,ON      NM,372555324,0.209,
RENT3,LOCALIZA,ON      NM,593944309,1.377,
LCAM3,LOCAMERICA,ON      NM,324522975,0.332,
LWSA3,LOCAWEB,ON      NM,431783548,0.421,
LAME3,LOJAS AMERIC,ON      N1,246443270,0.052,
LAME4,LOJAS AMERIC,PN      N1,853524256,0.194,
LREN3,LOJAS RENNER,ON      NM,889725318,1.343,
MGLU3,MAGAZ LUIZA,ON      NM,2820185158,1.871,
MRFG3,MARFRIG,ON  ED  NM,348234011,0.305,
CASH3,MELIUZ,ON  EB  NM,543488802,0.162,
BEEF3,MINERVA,ON      NM,242962308,0.097,
MOVI3,MOVIDA,ON      NM,133440549,0.099,
MRVE3,MRV,ON      NM,294643879,0.165,
MULT3,MULTIPLAN,ON      N2,273506645,0.224,
PCAR3,P.ACUCAR-CBD,ON      NM,156946474,0.171,
PETR3,PETROBRAS,ON      N2,3684060179,3.989,
PETR4,PETROBRAS,PN      N2,4566511125,4.829,
BRDT3,PETROBRAS BR,ON  EJ  NM,1164602565,1.208,
PRIO3,PETRORIO,ON      NM,839159130,0.710,
PETZ3,PETZ,ON      NM,258407844,0.281,
PSSA3,PORTO SEGURO,ON      NM,90931801,0.192,
POSI3,POSITIVO TEC,ON      NM,78053723,0.040,
QUAL3,QUALICORP,ON      NM,283670037,0.264,
RADL3,RAIADROGASIL,ON      NM,1071076905,1.133,
RAPT4,RANDON PART,PN      N1,177628801,0.087,
RDOR3,REDE D OR,ON  EDJ NM,929901433,2.635,
RAIL3,RUMO S.A.,ON      NM,1216056103,0.871,
SBSP3,SABESP,ON      NM,340001934,0.484,
SAPR11,SANEPAR,UNT     N2,201076373,0.153,
SANB11,SANTANDER BR,UNT,362703399,0.537,
CSNA3,SID NACIONAL,ON,642398790,0.814,
SULA11,SUL AMERICA,UNT     N2,284771028,0.324,
SUZB3,SUZANO S.A.,ON      NM,726779281,1.613,
TAEE11,TAESA,UNT     N2,218568234,0.331,
TASA4,TAURUS ARMAS,PN      N2,62034762,0.057,
VIVT3,TELEF BRASIL,ON,443933052,0.747,
TIMS3,TIM,ON      NM,808619532,0.400,
TOTS3,TOTVS,ON      NM,480960677,0.756,
UGPA3,ULTRAPAR,ON      NM,1084337016,0.633,
USIM5,USIMINAS,PNA     N1,514680651,0.307,
VALE3,VALE,ON      NM,5119956209,18.241,
VIIA3,VIA,ON      NM,1595895585,0.562,
WEGE3,WEG,ON      NM,1484859030,2.401,
YDUQ3,YDUQS PART,ON      NM,300833122,0.304,
Total Theorethical Quantity,,,95382662758,100.000
Reductor,,,50764404.97220010
