IGCT - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
RRRP3,3R PETROLEUM,ON      NM,129500588,0.182,
ABCB4,ABC BRASIL,PN      N2,69079780,0.042,
AERI3,AERIS,ON      NM,218058827,0.079,
AESB3,AES BRASIL,ON      NM,218241191,0.117,
ALSO3,ALIANSCSONAE,ON      NM,126260263,0.116,
AALR3,ALLIAR,ON      NM,43756055,0.021,
ALPA4,ALPARGATAS,PN      N1,167963777,0.379,
ALUP11,ALUPAR,UNT     N2,138342085,0.136,
AMBP3,AMBIPAR,ON      NM,43854659,0.103,
AMER3,AMERICANAS,ON      NM,546064815,0.809,
ANIM3,ANIMA,ON      NM,289500543,0.107,
ARZZ3,AREZZO CO,ON      NM,53951069,0.178,
ASAI3,ASSAI,ON      NM,794116430,0.597,
AZUL4,AZUL,PN      N2,327741172,0.452,
B3SA3,B3,ON      NM,6079530858,3.366,
BMGB4,BANCO BMG,PN      N1,100300860,0.015,
BIDI4,BANCO INTER,PN      N2,186303277,0.153,
BIDI11,BANCO INTER,UNT     N2,477617336,1.209,
BPAN4,BANCO PAN,PN      N1,341124068,0.230,
BRSR6,BANRISUL,PNB     N1,202522840,0.096,
BBSE3,BBSEGURIDADE,ON      NM,671629692,0.511,
BMOB3,BEMOBI TECH,ON      NM,86869818,0.066,
BKBR3,BK BRASIL,ON      NM,272245759,0.098,
BOAS3,BOA VISTA,ON      NM,531381332,0.254,
BBRK3,BR BROKERS,ON      NM,77941395,0.006,
BRML3,BR MALLS PAR,ON      NM,843728684,0.282,
BRPR3,BR PROPERT,ON      NM,187579163,0.062,
BBDC3,BRADESCO,ON      N1,1378842305,0.962,
BBDC4,BRADESCO,PN      N1,4691427537,3.821,
BRAP4,BRADESPAR,PN      N1,222604507,0.537,
BBAS3,BRASIL,ON  EJ  NM,1420530937,1.642,
AGRO3,BRASILAGRO,ON      NM,51771532,0.059,
BRKM5,BRASKEM,PNA     N1,264642296,0.721,
BRFS3,BRF SA,ON      NM,811759800,0.752,
BPAC11,BTGP BANCO,UNT     N2,1301655996,1.395,
CXSE3,CAIXA SEGURI,ON      NM,517500000,0.184,
CAML3,CAMIL,ON      NM,114319945,0.043,
CRFB3,CARREFOUR BR,ON      NM,410988561,0.292,
CCRO3,CCR SA,ON      NM,1115693556,0.501,
CEAB3,CEA MODAS,ON      NM,106394635,0.036,
CMIG3,CEMIG,ON      N1,277516331,0.179,
CMIG4,CEMIG,PN      N1,1114214662,0.602,
CESP6,CESP,PNB     N1,182017689,0.172,
HGTX3,CIA HERING,ON      NM,117608748,0.178,
CIEL3,CIELO,ON      NM,1144359228,0.113,
COGN3,COGNA ON,ON      NM,1847994874,0.220,
CSMG3,COPASA,ON      NM,188444559,0.107,
CPLE3,COPEL,ON      N1,319774264,0.073,
CPLE6,COPEL,PNB     N1,1563365506,0.421,
CSAN3,COSAN,ON      NM,1169237744,1.084,
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.204,
CMIN3,CSNMINERACAO,ON      N2,1216466645,0.290,
CARD3,CSU CARDSYST,ON      NM,18217771,0.015,
CURY3,CURY S/A,ON      NM,104486454,0.033,
CVCB3,CVC BRASIL,ON      NM,224571661,0.188,
CYRE3,CYRELA REALT,ON      NM,281609283,0.217,
DXCO3,DEXCO,ON      NM,272062873,0.197,
PNVL3,DIMED,ON      N2,71745377,0.045,
DIRR3,DIRECIONAL,ON      NM,75384053,0.036,
ECOR3,ECORODOVIAS,ON      NM,339237914,0.129,
ELET3,ELETROBRAS,ON      N1,358028908,0.529,
ELET6,ELETROBRAS,PNB     N1,242987127,0.364,
EMBR3,EMBRAER,ON      NM,734558205,0.612,
ENAT3,ENAUTA PART,ON      NM,76634938,0.038,
ENBR3,ENERGIAS BR,ON      NM,231489471,0.165,
ENGI11,ENERGISA,UNT     N2,248542219,0.421,
ENEV3,ENEVA,ON      NM,1261568398,0.825,
EGIE3,ENGIE BRASIL,ON      NM,255217329,0.389,
ENJU3,ENJOEI,ON      NM,158821493,0.031,
EQTL3,EQUATORIAL,ON      NM,1010511085,1.017,
ESPA3,ESPACOLASER,ON  EDJ NM,161437857,0.112,
EVEN3,EVEN,ON      NM,199399963,0.062,
EZTC3,EZTEC,ON      NM,101618236,0.102,
FESA4,FERBASA,PN  EJ  N1,40165900,0.088,
FLRY3,FLEURY,ON      NM,303005900,0.289,
GFSA3,GAFISA,ON      NM,118208091,0.014,
GGBR4,GERDAU,PN      N1,1097534498,1.136,
GOAU4,GERDAU MET,PN      N1,698275321,0.333,
GOLL4,GOL,PN      N2,167095214,0.131,
GGPS3,GPS,ON      NM,385222623,0.254,
GRND3,GRENDENE,ON      NM,268367380,0.106,
GMAT3,GRUPO MATEUS,ON      NM,463952163,0.121,
NTCO3,GRUPO NATURA,ON      NM,843870809,1.574,
SBFG3,GRUPO SBF,ON      NM,95476145,0.119,
SOMA3,GRUPO SOMA,ON      NM,230050155,0.160,
HAPV3,HAPVIDA,ON      NM,1306939210,0.783,
HBOR3,HELBOR,ON      NM,65306596,0.016,
HBSA3,HIDROVIAS,ON      NM,760109566,0.131,
HYPE3,HYPERA,ON      NM,411803359,0.541,
IGTA3,IGUATEMI,ON      NM,85748277,0.108,
PARD3,IHPARDINI,ON      NM,41617930,0.040,
MEAL3,IMC S/A,ON      NM,264997832,0.034,
ROMI3,INDS ROMI,ON      NM,37272660,0.031,
INTB3,INTELBRAS,ON      NM,82226741,0.098,
GNDI3,INTERMEDICA,ON      NM,592114608,1.959,
MYPK3,IOCHP-MAXION,ON      NM,137561133,0.086,
RANI3,IRANI,ON      NM,106103165,0.027,
IRBR3,IRBBRASIL RE,ON      NM,1255286531,0.259,
ITSA4,ITAUSA,PN      N1,4515559175,1.969,
ITUB3,ITAUUNIBANCO,ON      N1,385293206,0.402,
ITUB4,ITAUUNIBANCO,PN      N1,4780002924,5.342,
JBSS3,JBS,ON      NM,1346828080,1.744,
JHSF3,JHSF PART,ON      NM,305915142,0.075,
KLBN11,KLABIN S/A,UNT     N2,812994397,0.764,
LAVV3,LAVVI,ON      NM,93139429,0.024,
LIGT3,LIGHT S/A,ON      NM,372555324,0.203,
RENT3,LOCALIZA,ON      NM,593944309,1.333,
LCAM3,LOCAMERICA,ON      NM,324522975,0.321,
LWSA3,LOCAWEB,ON      NM,431783548,0.408,
LOGG3,LOG COM PROP,ON      NM,59190591,0.067,
LOGN3,LOG-IN,ON      NM,100340344,0.079,
LAME3,LOJAS AMERIC,ON      N1,246443270,0.050,
LAME4,LOJAS AMERIC,PN      N1,853524256,0.188,
AMAR3,LOJAS MARISA,ON      NM,111646974,0.025,
LREN3,LOJAS RENNER,ON      NM,889725318,1.300,
LPSB3,LOPES BRASIL,ON      NM,114874308,0.015,
MDIA3,M.DIASBRANCO,ON  EJ  NM,83169222,0.101,
MGLU3,MAGAZ LUIZA,ON      NM,2820185158,1.810,
POMO4,MARCOPOLO,PN      N2,557765916,0.059,
MRFG3,MARFRIG,ON  ED  NM,348234011,0.295,
CASH3,MELIUZ,ON  EB  NM,543488802,0.157,
MELK3,MELNICK,ON      NM,76155470,0.012,
LEVE3,METAL LEVE,ON      NM,38492518,0.058,
MILS3,MILLS,ON      NM,113954358,0.030,
BEEF3,MINERVA,ON      NM,242962308,0.094,
MTRE3,MITRE REALTY,ON      NM,54034454,0.018,
MOSI3,MOSAICO,ON      NM,67808642,0.031,
MOVI3,MOVIDA,ON      NM,133440549,0.096,
MRVE3,MRV,ON      NM,294643879,0.160,
MULT3,MULTIPLAN,ON      N2,273506645,0.216,
NEOE3,NEOENERGIA,ON      NM,226098192,0.140,
NGRD3,NEOGRID,ON      NM,109743428,0.022,
OPCT3,OCEANPACT,ON      NM,128832326,0.022,
ODPV3,ODONTOPREV,ON      NM,257081661,0.143,
OMGE3,OMEGA GER,ON      NM,122904609,0.174,
PCAR3,P.ACUCAR-CBD,ON      NM,156946474,0.165,
PGMN3,PAGUE MENOS,ON      NM,157843200,0.080,
PMAM3,PARANAPANEMA,ON      NM,43403849,0.019,
PETR3,PETROBRAS,ON      N2,3684060179,3.860,
PETR4,PETROBRAS,PN      N2,4566511125,4.673,
BRDT3,PETROBRAS BR,ON  EJ  NM,1164602565,1.169,
PRIO3,PETRORIO,ON      NM,839159130,0.687,
PETZ3,PETZ,ON      NM,258407844,0.272,
PLPL3,PLANOEPLANO,ON      NM,66384300,0.010,
PSSA3,PORTO SEGURO,ON      NM,90931801,0.185,
PTBL3,PORTOBELLO,ON      NM,66269176,0.031,
POSI3,POSITIVO TEC,ON      NM,78053723,0.039,
QUAL3,QUALICORP,ON      NM,283670037,0.256,
LJQQ3,QUERO-QUERO,ON      NM,179176919,0.129,
RADL3,RAIADROGASIL,ON      NM,1071076905,1.096,
RAPT4,RANDON PART,PN      N1,177628801,0.084,
RDOR3,REDE D OR,ON  EDJ NM,929901433,2.550,
RAIL3,RUMO S.A.,ON      NM,1216056103,0.843,
SBSP3,SABESP,ON      NM,340001934,0.468,
SAPR4,SANEPAR,PN      N2,203163265,0.030,
SAPR11,SANEPAR,UNT     N2,201076373,0.148,
STBP3,SANTOS BRP,ON      NM,857821689,0.254,
SMTO3,SAO MARTINHO,ON      NM,142845106,0.183,
SEQL3,SEQUOIA LOG,ON      NM,78010759,0.054,
SEER3,SER EDUCA,ON      NM,54338507,0.027,
SIMH3,SIMPAR,ON      NM,225252808,0.127,
SQIA3,SINQIA,ON      NM,77049738,0.067,
SLCE3,SLC AGRICOLA,ON      NM,89042697,0.155,
SULA11,SUL AMERICA,UNT     N2,284771028,0.314,
