IGCX - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
RRRP3,3R PETROLEUM,ON      NM,259001176,0.206,
TTEN3,3TENTOS,ON      NM,219607844,0.050,
ABCB4,ABC BRASIL,PN      N2,103619670,0.036,
AERI3,AERIS,ON      NM,436117654,0.090,
AESB3,AES BRASIL,ON      NM,436482382,0.132,
AGXY3,AGROGALAXY,ON      NM,126834286,0.025,
ALSO3,ALIANSCSONAE,ON      NM,252520526,0.132,
AALR3,ALLIAR,ON      NM,87512110,0.023,
ALLD3,ALLIED,ON  EDJ NM,59080588,0.036,
ALPA3,ALPARGATAS,ON      N1,11390682,0.012,
ALPA4,ALPARGATAS,PN      N1,167963777,0.215,
APER3,ALPER S.A.,ON      NM,28817186,0.028,
AVLL3,ALPHAVILLE,ON      NM,9215100,0.006,
ALUP11,ALUPAR,UNT     N2,207513127,0.116,
AMBP3,AMBIPAR,ON      NM,87709318,0.117,
AMER3,AMERICANAS,ON      NM,1092129630,0.916,
ANIM3,ANIMA,ON      NM,579001086,0.121,
ARZZ3,AREZZO CO,ON      NM,107902138,0.201,
ARML3,ARMAC,ON      NM,340230512,0.155,
ASAI3,ASSAI,ON      NM,1588232860,0.676,
AZUL4,AZUL,PN      N2,491611758,0.384,
B3SA3,B3,ON      NM,12159061716,3.813,
BMGB4,BANCO BMG,PN      N1,100300860,0.008,
BIDI4,BANCO INTER,PN      N2,279454915,0.130,
BIDI11,BANCO INTER,UNT     N2,716426004,1.027,
BPAN4,BANCO PAN,PN      N1,341124068,0.130,
BRSR3,BANRISUL,ON      N1,3839426,0.002,
BRSR6,BANRISUL,PNB     N1,202522840,0.054,
BBSE3,BBSEGURIDADE,ON      NM,1343259384,0.579,
BMOB3,BEMOBI TECH,ON      NM,173739636,0.075,
BKBR3,BK BRASIL,ON      NM,544491518,0.111,
BLAU3,BLAU,ON      NM,62787878,0.068,
SOJA3,BOA SAFRA,ON      NM,92919096,0.029,
BOAS3,BOA VISTA,ON      NM,1062762664,0.288,
BBRK3,BR BROKERS,ON      NM,155882790,0.007,
BRML3,BR MALLS PAR,ON      NM,1687457368,0.320,
BRBI11,BR PARTNERS,UNT     N2,85312740,0.040,
BRPR3,BR PROPERT,ON      NM,375158326,0.070,
BBDC3,BRADESCO,ON      N1,1378842305,0.545,
BBDC4,BRADESCO,PN      N1,4691427537,2.164,
BRAP3,BRADESPAR,ON      N1,26906369,0.034,
BRAP4,BRADESPAR,PN      N1,222604507,0.304,
BBAS3,BRASIL,ON  EJ  NM,2841061874,1.860,
AGRO3,BRASILAGRO,ON      NM,103543064,0.067,
BRKM3,BRASKEM,ON      N1,12907077,0.019,
BRKM5,BRASKEM,PNA     N1,264642296,0.408,
BRFS3,BRF SA,ON      NM,1623519600,0.852,
