IGNM - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
RRRP3,3R PETROLEUM,ON      NM,129500588,0.295,
TTEN3,3TENTOS,ON      NM,109803922,0.072,
AERI3,AERIS,ON      NM,218058827,0.129,
AESB3,AES BRASIL,ON      NM,218241191,0.190,
AGXY3,AGROGALAXY,ON      NM,63417143,0.036,
ALSO3,ALIANSCSONAE,ON      NM,126260263,0.188,
AALR3,ALLIAR,ON      NM,43756055,0.033,
ALLD3,ALLIED,ON  EDJ NM,29540294,0.052,
APER3,ALPER S.A.,ON      NM,14408593,0.040,
AVLL3,ALPHAVILLE,ON      NM,4607550,0.009,
AMBP3,AMBIPAR,ON      NM,43854659,0.168,
AMER3,AMERICANAS,ON      NM,546064815,1.313,
ANIM3,ANIMA,ON      NM,289500543,0.174,
ARZZ3,AREZZO CO,ON      NM,53951069,0.288,
ARML3,ARMAC,ON      NM,170115256,0.221,
ASAI3,ASSAI,ON      NM,794116430,0.969,
B3SA3,B3,ON      NM,6079530858,5.465,
BBSE3,BBSEGURIDADE,ON      NM,671629692,0.830,
BMOB3,BEMOBI TECH,ON      NM,86869818,0.108,
BKBR3,BK BRASIL,ON      NM,272245759,0.158,
BLAU3,BLAU,ON      NM,31393939,0.098,
SOJA3,BOA SAFRA,ON      NM,46459548,0.041,
BOAS3,BOA VISTA,ON      NM,531381332,0.413,
BBRK3,BR BROKERS,ON      NM,77941395,0.010,
BRML3,BR MALLS PAR,ON      NM,843728684,0.458,
BRPR3,BR PROPERT,ON      NM,187579163,0.101,
BBAS3,BRASIL,ON  EJ  NM,1420530937,2.665,
AGRO3,BRASILAGRO,ON      NM,51771532,0.096,
BRFS3,BRF SA,ON      NM,811759800,1.222,
BRIT3,BRISANET,ON      NM,89798851,0.060,
CXSE3,CAIXA SEGURI,ON      NM,517500000,0.299,
CAML3,CAMIL,ON      NM,114319945,0.070,
CRFB3,CARREFOUR BR,ON      NM,410988561,0.475,
CBAV3,CBA,ON      NM,143721645,0.128,
CCRO3,CCR SA,ON      NM,1115693556,0.813,
CEAB3,CEA MODAS,ON      NM,106394635,0.058,
HGTX3,CIA HERING,ON      NM,117608748,0.288,
CIEL3,CIELO,ON      NM,1144359228,0.184,
CLSA3,CLEARSALE,ON      NM,47353811,0.082,
COGN3,COGNA ON,ON      NM,1847994874,0.358,
CSMG3,COPASA,ON      NM,188444559,0.173,
CSAN3,COSAN,ON      NM,1169237744,1.760,
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.331,
CSED3,CRUZEIRO EDU,ON      NM,77755200,0.040,
CARD3,CSU CARDSYST,ON      NM,18217771,0.023,
