ITAG - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
RRRP3,3R PETROLEUM,ON      NM,129500588,0.183,
TTEN3,3TENTOS,ON      NM,109803922,0.044,
ABCB4,ABC BRASIL,PN      N2,69079780,0.042,
AERI3,AERIS,ON      NM,218058827,0.080,
AESB3,AES BRASIL,ON      NM,218241191,0.117,
AGXY3,AGROGALAXY,ON      NM,63417143,0.023,
ALSO3,ALIANSCSONAE,ON      NM,126260263,0.117,
AALR3,ALLIAR,ON      NM,43756055,0.021,
ALLD3,ALLIED,ON  EDJ NM,29540294,0.032,
APER3,ALPER S.A.,ON      NM,14408593,0.024,
AVLL3,ALPHAVILLE,ON      NM,4607550,0.005,
ALUP11,ALUPAR,UNT     N2,138342085,0.137,
AMBP3,AMBIPAR,ON      NM,43854659,0.104,
AMER3,AMERICANAS,ON      NM,546064815,0.812,
ANIM3,ANIMA,ON      NM,289500543,0.108,
ARZZ3,AREZZO CO,ON      NM,53951069,0.178,
ARML3,ARMAC,ON      NM,170115256,0.137,
ASAI3,ASSAI,ON      NM,794116430,0.599,
AZUL4,AZUL,PN      N2,327741172,0.454,
B3SA3,B3,ON      NM,6079530858,3.381,
BAHI3,BAHEMA,ON      MA,5516515,0.003,
BMGB4,BANCO BMG,PN      N1,100300860,0.015,
BIDI4,BANCO INTER,PN      N2,186303277,0.154,
BIDI11,BANCO INTER,UNT     N2,477617336,1.214,
BPAN4,BANCO PAN,PN      N1,341124068,0.231,
BGIP3,BANESE,ON,485708,0.001,
BGIP4,BANESE,PN,1063110,0.001,
BRSR3,BANRISUL,ON      N1,3839426,0.002,
BRSR6,BANRISUL,PNB     N1,202522840,0.096,
BBSE3,BBSEGURIDADE,ON      NM,671629692,0.513,
BMOB3,BEMOBI TECH,ON      NM,86869818,0.067,
BIOM3,BIOMM,ON      MA,23884427,0.014,
BKBR3,BK BRASIL,ON      NM,272245759,0.098,
BLAU3,BLAU,ON      NM,31393939,0.060,
SOJA3,BOA SAFRA,ON      NM,46459548,0.026,
BOAS3,BOA VISTA,ON      NM,531381332,0.255,
BBRK3,BR BROKERS,ON      NM,77941395,0.006,
BRML3,BR MALLS PAR,ON      NM,843728684,0.284,
BRPR3,BR PROPERT,ON      NM,187579163,0.062,
BBDC3,BRADESCO,ON      N1,1378842305,0.966,
BBDC4,BRADESCO,PN      N1,4691427537,3.837,
BRAP3,BRADESPAR,ON      N1,26906369,0.060,
BRAP4,BRADESPAR,PN      N1,222604507,0.539,
BBAS3,BRASIL,ON  EJ  NM,1420530937,1.649,
AGRO3,BRASILAGRO,ON      NM,51771532,0.060,
BRKM3,BRASKEM,ON      N1,12907077,0.033,
BRKM5,BRASKEM,PNA     N1,264642296,0.724,
BRKM6,BRASKEM,PNB     N1,500230,0.001,
BRFS3,BRF SA,ON      NM,811759800,0.756,
BRIT3,BRISANET,ON      NM,89798851,0.037,
BPAC11,BTGP BANCO,UNT     N2,1301655996,1.402,
CXSE3,CAIXA SEGURI,ON      NM,517500000,0.185,
CAML3,CAMIL,ON      NM,114319945,0.043,
CRFB3,CARREFOUR BR,ON      NM,410988561,0.294,
CBAV3,CBA,ON      NM,143721645,0.079,
CCRO3,CCR SA,ON      NM,1115693556,0.503,
CEAB3,CEA MODAS,ON      NM,106394635,0.036,
CEDO4,CEDRO,PN      N1,3767987,0.001,
CLSC4,CELESC,PN      N2,22810127,0.062,
CESP6,CESP,PNB     N1,182017689,0.173,
HGTX3,CIA HERING,ON      NM,117608748,0.178,
CIEL3,CIELO,ON      NM,1144359228,0.114,
CLSA3,CLEARSALE,ON      NM,47353811,0.050,
COGN3,COGNA ON,ON      NM,1847994874,0.221,
CSMG3,COPASA,ON      NM,188444559,0.107,
CSAN3,COSAN,ON      NM,1169237744,1.089,
CTNM4,COTEMINAS,PN,14357603,0.003,
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.205,
CRDE3,CR2,ON,2380679,0.002,
CSED3,CRUZEIRO EDU,ON      NM,77755200,0.025,
CMIN3,CSNMINERACAO,ON      N2,1216466645,0.291,
CARD3,CSU CARDSYST,ON      NM,18217771,0.014,
CURY3,CURY S/A,ON      NM,104486454,0.033,
CVCB3,CVC BRASIL,ON      NM,224571661,0.189,
CYRE3,CYRELA REALT,ON      NM,281609283,0.218,
DMVF3,D1000VFARMA,ON      NM,23536205,0.006,
DASA3,DASA,ON      NM,58226431,0.105,
DESK3,DESKTOP,ON      NM,30435000,0.025,
DXCO3,DEXCO,ON      NM,272062873,0.198,
PNVL3,DIMED,ON      N2,71745377,0.045,
DIRR3,DIRECIONAL,ON      NM,75384053,0.036,
DOTZ3,DOTZ SA,ON      NM,34898952,0.012,
ECOR3,ECORODOVIAS,ON      NM,339237914,0.129,
ELMD3,ELETROMIDIA,ON      NM,47550775,0.035,
EMBR3,EMBRAER,ON      NM,734558205,0.615,
ENAT3,ENAUTA PART,ON      NM,76634938,0.038,
ENBR3,ENERGIAS BR,ON      NM,231489471,0.165,
ENGI11,ENERGISA,UNT     N2,248542219,0.423,
ENEV3,ENEVA,ON      NM,1261568398,0.829,
EGIE3,ENGIE BRASIL,ON      NM,255217329,0.391,
ENJU3,ENJOEI,ON      NM,158821493,0.031,
EQTL3,EQUATORIAL,ON      NM,1010511085,1.021,
ESPA3,ESPACOLASER,ON  EDJ NM,161437857,0.113,
ALPK3,ESTAPAR,ON  ES  NM,98820480,0.025,
EVEN3,EVEN,ON      NM,199399963,0.062,
EZTC3,EZTEC,ON      NM,101618236,0.103,
FLRY3,FLEURY,ON      NM,303005900,0.291,
POWE3,FOCUS ON,ON      NM,42684181,0.023,
GFSA3,GAFISA,ON      NM,118208091,0.014,
GSHP3,GENERALSHOPP,ON,1428328,0.002,
GEPA4,GER PARANAP,PN,3300250,0.005,
GGBR3,GERDAU,ON      N1,14031044,0.012,
GGBR4,GERDAU,PN      N1,1097534498,1.141,
GOAU3,GERDAU MET,ON      N1,90953948,0.039,
GOAU4,GERDAU MET,PN      N1,698275321,0.334,
NINJ3,GETNINJAS,ON      NM,42897889,0.025,
GOLL4,GOL,PN      N2,167095214,0.131,
GGPS3,GPS,ON      NM,385222623,0.255,
CGRA3,GRAZZIOTIN,ON,2567496,0.004,
CGRA4,GRAZZIOTIN,PN,8774860,0.015,
GRND3,GRENDENE,ON      NM,268367380,0.106,
GMAT3,GRUPO MATEUS,ON      NM,463952163,0.122,
NTCO3,GRUPO NATURA,ON      NM,843870809,1.581,
SBFG3,GRUPO SBF,ON      NM,95476145,0.120,
SOMA3,GRUPO SOMA,ON      NM,230050155,0.160,
HAPV3,HAPVIDA,ON      NM,1306939210,0.786,
HBRE3,HBR REALTY,ON      NM,25797246,0.014,
HBOR3,HELBOR,ON      NM,65306596,0.016,
HBSA3,HIDROVIAS,ON      NM,760109566,0.131,
HYPE3,HYPERA,ON      NM,411803359,0.544,
IGTA3,IGUATEMI,ON      NM,85748277,0.108,
PARD3,IHPARDINI,ON      NM,41617930,0.040,
MEAL3,IMC S/A,ON      NM,264997832,0.035,
ROMI3,INDS ROMI,ON      NM,37272660,0.032,
IFCM3,INFRACOMM,ON      NM,236539710,0.153,
INTB3,INTELBRAS,ON      NM,82226741,0.098,
GNDI3,INTERMEDICA,ON      NM,592114608,1.968,
MYPK3,IOCHP-MAXION,ON      NM,137561133,0.086,
RANI3,IRANI,ON      NM,106103165,0.027,
IRBR3,IRBBRASIL RE,ON      NM,1255286531,0.261,
ITSA4,ITAUSA,PN      N1,4515559175,1.977,
ITUB4,ITAUUNIBANCO,PN      N1,4780002924,5.365,
JALL3,JALLESMACHAD,ON      NM,97713448,0.039,
JBSS3,JBS,ON      NM,1346828080,1.752,
JHSF3,JHSF PART,ON      NM,305915142,0.075,
JSLG3,JSL,ON      NM,63399039,0.023,
KEPL3,KEPLER WEBER,ON,30332816,0.054,
KLBN11,KLABIN S/A,UNT     N2,812994397,0.767,
KRSA3,KORA SAUDE,ON      NM,80079135,0.024,
