BDRX - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
MMMC34,3M,DRN,23145532,0.383,
ABUD34,AB INBEV,DRN,121154520,0.420,
A1BB34,ABB LTD,DRN,82125920,0.273,
ABTT34,ABBOTT,DRN,70912680,0.820,
ABBV34,ABBVIE,DRN,17671760,0.693,
A1BM34,ABIOMED INC,DRN,1815209,0.059,
ACNB34,ACCENTURE,DRN,6450000,0.800,
ATVI34,ACTIVISION,DRN,7777084,0.224,
ADBE34,ADOBE INC,DRN,238200000,1.149,
A1AP34,ADVANCE AUTO,DRN ED,10080118,0.047,
A1MD34,ADVANCED MIC,DRN,12129650,0.467,
A1EG34,AEGON NV,DRN,20981140,0.037,
A1ES34,AES CORP,DRN,6663597,0.059,
A1KA34,AKAMAI TECHN,DRN,19539576,0.066,
A1LB34,ALBEMARLE CO,DRN ED,1169499,0.098,
A1RE34,ALEXANDRIA R,DRN,5044584,0.091,
BABA34,ALIBABAGR,DRN,761090120,1.550,
A1LL34,ALLIANCE DAT,DRN,1990240,0.018,
A1LN34,ALNYLAM PHAR,DRN,23769540,0.082,
GOGL34,ALPHABET,DRN A,451626900,3.144,
GOGL35,ALPHABET,DRN C,480252750,3.370,
A1YX34,ALTERYX INC,DRN,11896344,0.024,
MOOO34,ALTRIA GROUP,DRN ED,18440780,0.327,
AMZO34,AMAZON,DRN,5064405,0.041,
A1MX34,AMERICAMOVIL,DRN,5474714,0.018,
AALL34,AMERICAN AIR,DRN,19339119,0.140,
AXPB34,AMERICAN EXP,DRN,43166187,0.255,
T1OW34,AMERICAN TOW,DRN,8435134,0.227,
AMGN34,AMGEN,DRN,9788288,0.028,
A1UA34,ANGLOGOLD AS,DRN,12767899,0.017,
A1PA34,APA CORP,DRN,27920000,0.208,
A1IV34,APARTMENT IN,DRN,15078780,0.038,
AAPL34,APPLE,DRN,1653017000,8.925,
A1MT34,APPLIED MATE,DRN,9029285,0.471,
ARMT34,ARCELOR,DRN,22056200,0.133,
ASML34,ASML HOLD,DRN,4194983,1.349,
A1ZN34,ASTRAZENECA,DRN,185893980,0.621,
ATTB34,ATT INC,DRN,72000000,0.241,
A1UT34,AUTODESK INC,DRN,8800532,0.232,
A1VB34,AVALONBAY CO,DRN,5584672,0.113,
BIDU34,BAIDU INC,DRN,2780711,0.161,
B1SA34,BANCO SANTAN,DRN,9422306,0.035,
BOAC34,BANK AMERICA,DRN,336596160,1.242,
B1CS34,BARCLAYS PLC,DRN,42325930,0.157,
BERK34,BERKSHIRE,DRN,22810000,0.116,
BBYY34,BEST BUY,DRN ED,2504730,0.099,
B1IL34,BILIBILI INC,DRN,15032360,0.079,
BIIB34,BIOGEN,DRN,8942004,0.162,
B1NT34,BIONTECH SE,DRN,19401360,0.327,
BLAK34,BLACKROCK,DRN,9131748,0.491,
BONY34,BNY MELLON,DRN,8631700,0.161,
BOEI34,BOEING,DRN,5861500,0.454,
BKNG34,BOOKING,DRN,71854720,0.349,
BOXP34,BOSTON PROP,DRN,15616920,0.063,
B1SX34,BOSTON SCIEN,DRN,14238530,0.232,
B1PP34,BP PLC,DRN,134212440,0.309,
BMYB34,BRISTOLMYERS,DRN,22220000,0.493,
B1TI34,BRITISH AMER,DRN,114731550,0.308,
AVGO34,BROADCOM INC,DRN,143591210,0.756,
CAPH34,CAPRI HOLDI,DRN,1520145,0.029,
C1CL34,CARNIVAL COR,DRN,9738245,0.082,
CATP34,CATERPILLAR,DRN,5474714,0.025,
CHCM34,CHARTER COMM,DRN,110293320,0.494,
CHVX34,CHEVRON,DRN,19339119,0.068,
C1HI34,CHINA PETROL,DRN ED,15308064,0.046,
C1IC34,CIGNA CORP,DRN,13604300,0.254,
CSCO34,CISCO,DRN,210710250,0.876,
CTGP34,CITIGROUP,DRN,121607100,0.517,
COCA34,COCA COLA,DRN ED,43166187,0.145,
COLG34,COLGATE,DRN,8435134,0.033,
CMCS34,COMCAST,DRN,229014650,0.956,
COPH34,COPHILLIPS,DRN,53563280,0.288,
C1TV34,CORTEVA INC,DRN,29376840,0.113,
COWC34,COSTCO,DRN,176827640,0.742,
COTY34,COTY INC,DRN,15321316,0.023,
C1SU34,CREDIT SUISS,DRN,53014960,0.099,
CRIP34,CTRIPCOM,DRN,6374564,0.066,
CVSH34,CVS HEALTH,DRN,26391500,0.409,
DHER34,DANAHER CORP,DRN,28555984,0.839,
DEEC34,DEERE CO,DRN,6201230,0.400,
D1EL34,DELL TECHNOL,DRN,2775881,0.102,
DEAI34,DELTA,DRN,6399149,0.093,
DBAG34,DEUTSCHE AK,DRN,20667730,0.098,
F1AN34,DIAMONDBACK,DRN,3621072,0.053,
D1LR34,DIGITAL REAL,DRN ED,11303736,0.158,
D1OC34,DOCUSIGN INC,DRN,38967020,0.195,
DGCO34,DOLLAR GENER,DRN,4666204,0.187,
EBAY34,EBAY,DRN,13001116,0.176,
EAIN34,ELECTR ARTS,DRN,5691636,0.141,
E1NI34,ENEL AMERICA,DRN,21456340,0.049,
EQIX34,EQUINIX INC,DRN,71800168,0.278,
E1QR34,EQUITY RESID,DRN,7489146,0.111,
E1RI34,ERICSSON LM,DRN,61447920,0.129,
E1SS34,ESSEX PROPER,DRN,6503481,0.077,
EXXO34,EXXON MOBIL,DRN,169342520,0.860,
FBOK34,FACEBOOK,DRN,667467360,3.221,
F1RI34,FEDERAL REAL,DRN,3110725,0.034,
FDXB34,FEDEX CORP,DRN,2661900,0.249,
F1NI34,FIDELITY NAT,DRN ED,98830512,0.281,
