ICON - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
AALR3,ALLIAR,ON      NM,43756055,0.076,
ALPA4,ALPARGATAS,PN      N1,167963777,1.393,
ABEV3,AMBEV S/A,ON,4358814864,10.129,
AMER3,AMERICANAS,ON      NM,546064815,2.970,
ANIM3,ANIMA,ON      NM,289500543,0.394,
ARZZ3,AREZZO CO,ON      NM,53951069,0.652,
ASAI3,ASSAI,ON      NM,794116430,2.192,
BKBR3,BK BRASIL,ON      NM,272245759,0.359,
AGRO3,BRASILAGRO,ON      NM,51771532,0.218,
BRFS3,BRF SA,ON      NM,811759800,2.765,
CAML3,CAMIL,ON      NM,114319945,0.157,
CRFB3,CARREFOUR BR,ON      NM,410988561,1.074,
CEAB3,CEA MODAS,ON      NM,106394635,0.132,
HGTX3,CIA HERING,ON      NM,117608748,0.653,
COGN3,COGNA ON,ON      NM,1847994874,0.809,
CURY3,CURY S/A,ON      NM,104486454,0.121,
CVCB3,CVC BRASIL,ON      NM,224571661,0.691,
CYRE3,CYRELA REALT,ON      NM,281609283,0.799,
PNVL3,DIMED,ON      N2,71745377,0.166,
DIRR3,DIRECIONAL,ON      NM,75384053,0.132,
ESPA3,ESPACOLASER,ON  EDJ NM,161437857,0.413,
EVEN3,EVEN,ON      NM,199399963,0.227,
EZTC3,EZTEC,ON      NM,101618236,0.375,
FLRY3,FLEURY,ON      NM,303005900,1.063,
GFSA3,GAFISA,ON      NM,118208091,0.050,
GRND3,GRENDENE,ON      NM,268367380,0.388,
GMAT3,GRUPO MATEUS,ON      NM,463952163,0.445,
NTCO3,GRUPO NATURA,ON      NM,843870809,5.782,
SBFG3,GRUPO SBF,ON      NM,95476145,0.438,
SOMA3,GRUPO SOMA,ON      NM,230050155,0.588,
GUAR3,GUARARAPES,ON,81934660,0.170,
HAPV3,HAPVIDA,ON      NM,1306939210,2.877,
HBOR3,HELBOR,ON      NM,65306596,0.059,
HYPE3,HYPERA,ON      NM,411803359,1.989,
PARD3,IHPARDINI,ON      NM,41617930,0.147,
MEAL3,IMC S/A,ON      NM,264997832,0.127,
GNDI3,INTERMEDICA,ON      NM,592114608,7.199,
MYPK3,IOCHP-MAXION,ON      NM,137561133,0.315,
JBSS3,JBS,ON      NM,1346828080,6.408,
JHSF3,JHSF PART,ON      NM,305915142,0.275,
LAVV3,LAVVI,ON      NM,93139429,0.087,
RENT3,LOCALIZA,ON      NM,593944309,4.897,
LCAM3,LOCAMERICA,ON      NM,324522975,1.180,
LAME3,LOJAS AMERIC,ON      N1,246443270,0.186,
LAME4,LOJAS AMERIC,PN      N1,853524256,0.691,
AMAR3,LOJAS MARISA,ON      NM,111646974,0.093,
LREN3,LOJAS RENNER,ON      NM,889725318,4.775,
MDIA3,M.DIASBRANCO,ON  EJ  NM,83169222,0.372,
MGLU3,MAGAZ LUIZA,ON      NM,2820185158,6.651,
MRFG3,MARFRIG,ON  ED  NM,348234011,1.085,
MELK3,MELNICK,ON      NM,76155470,0.046,
LEVE3,METAL LEVE,ON      NM,38492518,0.212,
BEEF3,MINERVA,ON      NM,242962308,0.344,
MTRE3,MITRE REALTY,ON      NM,54034454,0.065,
MOVI3,MOVIDA,ON      NM,133440549,0.353,
MRVE3,MRV,ON      NM,294643879,0.587,
ODPV3,ODONTOPREV,ON      NM,257081661,0.524,
PCAR3,P.ACUCAR-CBD,ON      NM,156946474,0.607,
PGMN3,PAGUE MENOS,ON      NM,157843200,0.295,
PETZ3,PETZ,ON      NM,258407844,0.998,
PLPL3,PLANOEPLANO,ON      NM,66384300,0.037,
QUAL3,QUALICORP,ON      NM,283670037,0.940,
LJQQ3,QUERO-QUERO,ON      NM,179176919,0.474,
RADL3,RAIADROGASIL,ON      NM,1071076905,4.027,
RDOR3,REDE D OR,ON  EDJ NM,929901433,9.368,
SMTO3,SAO MARTINHO,ON      NM,142845106,0.672,
SEER3,SER EDUCA,ON      NM,54338507,0.099,
SLCE3,SLC AGRICOLA,ON      NM,89042697,0.569,
TECN3,TECHNOS,ON      NM,63500478,0.035,
TCSA3,TECNISA,ON      NM,52380706,0.041,
TEND3,TENDA,ON      NM,96139516,0.264,
SHOW3,TIME FOR FUN,ON      NM,34484939,0.025,
TRIS3,TRISUL,ON      NM,83225626,0.091,
VAMO3,VAMOS,ON      NM,200729920,0.467,
VIIA3,VIA,ON      NM,1595895585,1.998,
VIVA3,VIVARA S.A.,ON      NM,99446859,0.449,
VULC3,VULCABRAS,ON      NM,73766391,0.099,
YDUQ3,YDUQS PART,ON      NM,300833122,1.080,
Total Theorethical Quantity,,,31536835809,100.000
Reductor,,,140435524.33936747
