IDIV - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
ABCB4,ABC BRASIL,PN      N2,109742538,0.425,
BRSR6,BANRISUL,PNB     N1,321734820,0.971,
BBSE3,BBSEGURIDADE,ON      NM,1066974264,5.167,
BBDC3,BRADESCO,ON      N1,663965977,2.949,
BBDC4,BRADESCO,PN      N1,548618772,2.844,
BRAP4,BRADESPAR,PN      N1,171062961,2.625,
BBAS3,BRASIL,ON  EJ  NM,449284034,3.305,
AGRO3,BRASILAGRO,ON      NM,82246054,0.601,
CCRO3,CCR SA,ON      NM,1271991841,3.636,
CMIG3,CEMIG,ON      N1,440872085,1.809,
CMIG4,CEMIG,PN      N1,918244037,3.159,
CESP6,CESP,PNB     N1,289159624,1.741,
CSMG3,COPASA,ON      NM,299369573,1.078,
CPLE3,COPEL,ON      N1,508004506,0.741,
CPLE6,COPEL,PNB     N1,1772962657,3.041,
CPFE3,CPFL ENERGIA,ON      NM,298238432,2.060,
CYRE3,CYRELA REALT,ON      NM,447374291,2.199,
DIRR3,DIRECIONAL,ON      NM,119757725,0.363,
ELET3,ELETROBRAS,ON      N1,334865464,3.150,
ELET6,ELETROBRAS,PNB     N1,360259119,3.435,
ENAT3,ENAUTA PART,ON      NM,121744925,0.380,
ENBR3,ENERGIAS BR,ON      NM,367752216,1.666,
EGIE3,ENGIE BRASIL,ON      NM,404895805,3.932,
FESA4,FERBASA,PN  EJ  N1,63808944,0.893,
ROMI3,INDS ROMI,ON      NM,59212642,0.318,
ITSA4,ITAUSA,PN      N1,1163678412,3.230,
ITUB3,ITAUUNIBANCO,ON      N1,445468169,2.956,
ITUB4,ITAUUNIBANCO,PN      N1,377598432,2.687,
JHSF3,JHSF PART,ON      NM,485987423,0.757,
LEVE3,METAL LEVE,ON      NM,61150551,0.585,
MRVE3,MRV,ON      NM,468081503,1.615,
PETR4,PETROBRAS,PN      N2,488745336,3.184,
BRDT3,PETROBRAS BR,ON  EJ  NM,989908792,6.326,
PSSA3,PORTO SEGURO,ON      NM,144457418,1.876,
QUAL3,QUALICORP,ON      NM,450648076,2.586,
SAPR4,SANEPAR,PN      N2,322752221,0.307,
SANB11,SANTANDER BR,UNT,409942616,3.736,
CSNA3,SID NACIONAL,ON,368632969,2.878,
SYNE3,SYN PROP TEC,ON      NM,94778145,0.256,
TAEE11,TAESA,UNT     N2,347225090,3.237,
TGMA3,TEGMA,ON      NM,50838663,0.214,
VIVT3,TELEF BRASIL,ON,495256524,5.132,
TRPL4,TRAN PAULIST,PN      N1,628776936,3.937,
UNIP6,UNIPAR,PNB,71268820,1.607,
WIZS3,WIZ S.A.,ON      NM,123183894,0.406,
Total Theorethical Quantity,,,19480523296,100.000
Reductor,,,60997224.19009946
