IEEX - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
AESB3,AES BRASIL,ON      NM,12300,5.042,
ALUP11,ALUPAR,UNT     N2,7500,5.658,
CMIG4,CEMIG,PN      N1,13600,5.628,
CESP6,CESP,PNB     N1,7800,5.650,
COCE5,COELCE,PNA,3100,5.415,
CPLE6,COPEL,PNB     N1,26700,5.509,
CPFE3,CPFL ENERGIA,ON      NM,6900,5.734,
ELET3,ELETROBRAS,ON      N1,4900,5.547,
ENBR3,ENERGIAS BR,ON      NM,10100,5.506,
ENGI11,ENERGISA,UNT     N2,4200,5.452,
ENEV3,ENEVA,ON      NM,11600,5.811,
EGIE3,ENGIE BRASIL,ON      NM,4900,5.725,
EQTL3,EQUATORIAL,ON      NM,7200,5.547,
LIGT3,LIGHT S/A,ON      NM,12700,5.290,
NEOE3,NEOENERGIA,ON      NM,11200,5.298,
OMGE3,OMEGA GER,ON      NM,5400,5.856,
TAEE11,TAESA,UNT     N2,5000,5.607,
TRPL4,TRAN PAULIST,PN      N1,7600,5.725,
Total Theorethical Quantity,,,162700,100.000
Reductor,,,41.62255185
