IFIL - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
BPFF11,FII ABSOLUTO,CI,4492326,0.360,
ALZR11,FII ALIANZA,CI,5926910,0.781,
BARI11,FII BARIGUI,CI,4634191,0.550,
BBPO11,FII BB PRGII,CI,15919690,1.870,
BCFF11,FII BC FFII,CI  ER,25186378,2.078,
BRCR11,FII BC FUND,CI  ER,26638202,2.254,
BCRI11,FII BEES CRI,CI,6257873,0.776,
BRCO11,FII BRESCO,CI,14778781,1.698,
BTLG11,FII BTLG,CI  ER,15228960,1.799,
CPTS11,FII CAPI SEC,CI  ER,25781435,2.878,
HGCR11,FII CSHG CRI,CI,15980616,1.862,
HGLG11,FII CSHG LOG,CI,21313413,3.929,
HGRU11,FII CSHG URB,CI,18406458,2.420,
DEVA11,FII DEVANT,CI  ER,10947069,1.269,
VRTA11,FII FATOR VE,CI,10000000,1.233,
GTWR11,FII G TOWERS,CI,12000000,1.241,
GGRC11,FII GGRCOVEP,CI,7758429,1.031,
HABT11,FII HABIT II,CI,5412107,0.764,
HCTR11,FII HECTARE,CI  ER,18860456,2.576,
HGBS11,FII HEDGEBS,CI,10000000,2.152,
HGRE11,FII HG REAL,CI,11817767,1.752,
HSML11,FII HSI MALL,CI,15780613,1.462,
HFOF11,FII HTOPFOF3,CI,22975000,2.249,
IRDM11,FII IRIDIUM,CI  ER,28000000,3.624,
JSRE11,FII JS REAL,CI,20767328,1.864,
KISU11,FII KILIMA,CI,44196050,0.448,
KNRI11,FII KINEA,CI,24157121,3.872,
KNHY11,FII KINEA HY,CI,10690843,1.329,
KNIP11,FII KINEA IP,CI,59134764,7.048,
KNCR11,FII KINEA RI,CI,39097087,4.272,
KNSC11,FII KINEA SC,CI,8560787,0.963,
MALL11,FII MALLS BP,CI,7560351,0.818,
MCCI11,FII MAUA,CI  ER,12417281,1.424,
MXRF11,FII MAXI REN,CI,226039663,2.599,
MGFF11,FII MOGNO,CI  ER,9050620,0.726,
PATL11,FII PATR LOG,CI,4991535,0.420,
RBRP11,FII RBR PROP,CI  ER,12179186,1.022,
RBRF11,FII RBRALPHA,CI  ER,13680770,1.225,
RBRR11,FII RBRHGRAD,CI  ER,10362300,1.156,
RECR11,FII REC RECE,CI  ER,19379213,2.304,
RECT11,FII REC REND,CI  ER,8179347,0.670,
RBVA11,FII RIOB VA,CI,11588199,1.421,
RZTR11,FII RIZA TX,CI,11048018,1.241,
SDIL11,FII SDI LOG,CI,8869047,0.907,
TGAR11,FII TG ATIVO,CI,11309571,1.672,
TORD11,FII TORDE EI,CI  ER,35051354,0.410,
TRXF11,FII TRX REAL,CI,7641522,0.883,
URPR11,FII URCA REN,CI,3320856,0.447,
VGIP11,FII VALORAIP,CI  ER,7351274,0.835,
CVBI11,FII VBI CRI,CI  ER,9916926,1.147,
LVBI11,FII VBI LOG,CI,11775177,1.360,
PVBI11,FII VBI PRI,CI,13227854,1.334,
VILG11,FII VINCI LG,CI,14997396,1.823,
VINO11,FII VINCI OF,CI,12673868,0.855,
VISC11,FII VINCI SC,CI,18979540,2.175,
XPCI11,FII XP CRED,CI  ES,9771454,1.073,
XPIN11,FII XP INDL,CI,7302828,0.797,
XPLG11,FII XP LOG,CI,27101061,3.060,
XPCM11,FII XP MACAE,CI,2414570,0.073,
XPML11,FII XP MALLS,CI,23807124,2.753,
XPPR11,FII XP PROP,CI,7316171,0.562,
XPSF11,FII XP SELEC,CI,4330214,0.404,
Total Theorethical Quantity,,,1144334944,100.000
Reductor,,,72632999.50982965
