IFIX - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
BPFF11,FII ABSOLUTO,CI,4492326,0.307,
ALZR11,FII ALIANZA,CI,5926910,0.666,
ARCT11,FII ARCTIUM,CI  ER,1597568,0.154,
AIEC11,FII AUTONOMY,CI,4825000,0.374,
BARI11,FII BARIGUI,CI,4634191,0.469,
BBPO11,FII BB PRGII,CI,15919690,1.594,
BCFF11,FII BC FFII,CI  ER,25186378,1.771,
BRCR11,FII BC FUND,CI  ER,26638202,1.921,
BCIA11,FII BCIA,CI,3719038,0.316,
BCRI11,FII BEES CRI,CI,6257873,0.662,
BLMR11,FII BLUE FOF,CI  ER,2554163,0.183,
BRCO11,FII BRESCO,CI,14778781,1.447,
BZLI11,FII BRREALTY,CI,39134186,0.625,
BTAL11,FII BTG AGRO,CI,5982736,0.542,
BTCR11,FII BTG CRI,CI  ER,4810097,0.423,
BTLG11,FII BTLG,CI  ER,15228960,1.534,
CPFF11,FII CAP REIT,CI  ER,5473771,0.415,
CPTS11,FII CAPI SEC,CI  ER,25781435,2.453,
HGCR11,FII CSHG CRI,CI,15980616,1.587,
HGFF11,FII CSHG FOF,CI,2863597,0.211,
HGLG11,FII CSHG LOG,CI,21313413,3.348,
HGRU11,FII CSHG URB,CI,18406458,2.063,
HGPO11,FII CSHGPRIM,CI,1753057,0.376,
DEVA11,FII DEVANT,CI  ER,10947069,1.082,
FEXC11,FII EXCELLEN,CI  ER,6103509,0.508,
VRTA11,FII FATOR VE,CI,10000000,1.051,
GTWR11,FII G TOWERS,CI,12000000,1.058,
FIGS11,FII GEN SHOP,CI,2850000,0.158,
GGRC11,FII GGRCOVEP,CI,7758429,0.878,
GALG11,FII GUARDIAN,CI,5613031,0.555,
HABT11,FII HABIT II,CI,5412107,0.652,
HCTR11,FII HECTARE,CI  ER,18860456,2.195,
HGBS11,FII HEDGEBS,CI,10000000,1.834,
HGRE11,FII HG REAL,CI,11817767,1.493,
HSLG11,FII HSI LOG,CI,12660067,1.130,
HSML11,FII HSI MALL,CI,15780613,1.246,
HFOF11,FII HTOPFOF3,CI,22975000,1.917,
FIIB11,FII INDL BR,CI,685000,0.316,
IRDM11,FII IRIDIUM,CI  ER,28000000,3.088,
JSRE11,FII JS REAL,CI,20767328,1.589,
KISU11,FII KILIMA,CI,44196050,0.382,
KNRI11,FII KINEA,CI,24157121,3.300,
KNHY11,FII KINEA HY,CI,10690843,1.133,
KNIP11,FII KINEA IP,CI,59134764,6.008,
KNCR11,FII KINEA RI,CI,39097087,3.641,
KNSC11,FII KINEA SC,CI,8560787,0.821,
KFOF11,FII KINEAFOF,CI,4533315,0.358,
MALL11,FII MALLS BP,CI,7560351,0.697,
MCCI11,FII MAUA,CI  ER,12417281,1.214,
MXRF11,FII MAXI REN,CI,226039663,2.215,
MFII11,FII MERITO I,CI,4146900,0.459,
MGFF11,FII MOGNO,CI  ER,9050620,0.618,
MORE11,FII MORE RE,CI  ER,2319115,0.177,
OUJP11,FII OURI JPP,CI,3252384,0.276,
PATL11,FII PATR LOG,CI,4991535,0.358,
PATC11,FII PATRIA,CI,3477434,0.214,
PLCR11,FII PLURAL R,CI,2109169,0.188,
PORD11,FII POLO CRI,CI,3728375,0.344,
QAGR11,FII QUASAR A,CI,5040000,0.247,
RFOF11,FII RB CFOF,CI,1078164,0.086,
RBRL11,FII RBR LOG,CI  ER,6687035,0.652,
RBRY11,FII RBR PCRI,CI  ER,3397153,0.331,
RBRP11,FII RBR PROP,CI  ER,12179186,0.871,
RBRF11,FII RBRALPHA,CI  ER,13680770,1.044,
RBRR11,FII RBRHGRAD,CI  ER,10362300,0.986,
RECR11,FII REC RECE,CI  ER,19379213,1.964,
RECT11,FII REC REND,CI  ER,8179347,0.571,
RBED11,FII RIOB ED,CI,2021621,0.262,
RBFF11,FII RIOB FF,CI,3749215,0.220,
RCRB11,FII RIOB RC,CI  ER,3690695,0.513,
RBVA11,FII RIOB VA,CI,11588199,1.211,
RZAK11,FII RIZA AKN,CI  ER,3001734,0.258,
RZTR11,FII RIZA TX,CI,11048018,1.058,
FLMA11,FII S F LIMA,CI  ER,1380670,0.171,
SADI11,FII SANT PAP,CI,3180207,0.251,
SARE11,FII SANT REN,CI,9234329,0.697,
SDIL11,FII SDI LOG,CI,8869047,0.773,
SPTW11,FII SP DOWNT,CI,1798000,0.100,
TEPP11,FII TEL PROP,CI,4221967,0.303,
TGAR11,FII TG ATIVO,CI,11309571,1.425,
TORD11,FII TORDE EI,CI  ER,35051354,0.349,
TRXF11,FII TRX REAL,CI,7641522,0.753,
URPR11,FII URCA REN,CI,3320856,0.381,
VGIP11,FII VALORAIP,CI  ER,7351274,0.712,
VGIR11,FII VALREIII,CI  ER,4506414,0.412,
CVBI11,FII VBI CRI,CI  ER,9916926,0.978,
LVBI11,FII VBI LOG,CI,11775177,1.159,
PVBI11,FII VBI PRI,CI,13227854,1.137,
RVBI11,FII VBI REIT,CI  ER,1440000,0.129,
VCJR11,FII VECTIS,CI,11603880,1.064,
VSLH11,FII VERS CRI,CI  ERS,36593679,0.355,
VIFI11,FII VINCI IF,CI,2812340,0.218,
VILG11,FII VINCI LG,CI,14997396,1.554,
VINO11,FII VINCI OF,CI,12673868,0.729,
VISC11,FII VINCI SC,CI,18979540,1.854,
VTLT11,FII VOT LOG,CI,2115000,0.195,
XPCI11,FII XP CRED,CI  ES,9771454,0.914,
XPIN11,FII XP INDL,CI,7302828,0.679,
XPLG11,FII XP LOG,CI,27101061,2.608,
XPCM11,FII XP MACAE,CI,2414570,0.063,
XPML11,FII XP MALLS,CI,23807124,2.346,
XPPR11,FII XP PROP,CI,7316171,0.479,
XPSF11,FII XP SELEC,CI,4330214,0.344,
Total Theorethical Quantity,,,1376078559,100.000
Reductor,,,37853526.08502830
