IFNC - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
ABCB4,ABC BRASIL,PN      N2,69079780,0.212,
B3SA3,B3,ON      NM,6079530858,16.934,
BMGB4,BANCO BMG,PN      N1,100300860,0.075,
BIDI4,BANCO INTER,PN      N2,186303277,0.770,
BIDI11,BANCO INTER,UNT     N2,477617336,6.081,
BPAN4,BANCO PAN,PN      N1,341124068,1.157,
BRSR6,BANRISUL,PNB     N1,202522840,0.483,
BBSE3,BBSEGURIDADE,ON      NM,671629692,2.570,
BOAS3,BOA VISTA,ON      NM,531381332,1.279,
BBDC3,BRADESCO,ON      N1,1093083489,3.836,
BBDC4,BRADESCO,PN      N1,3719150451,15.239,
BBAS3,BRASIL,ON  EJ  NM,1420530937,8.258,
BPAC11,BTGP BANCO,UNT     N2,1301655996,7.020,
CXSE3,CAIXA SEGURI,ON      NM,517500000,0.927,
CIEL3,CIELO,ON      NM,1144359228,0.569,
CARD3,CSU CARDSYST,ON      NM,18217771,0.073,
ITSA4,ITAUSA,PN      N1,4515559175,9.905,
ITUB3,ITAUUNIBANCO,ON      N1,259838937,1.363,
ITUB4,ITAUUNIBANCO,PN      N1,3223599215,18.124,
PSSA3,PORTO SEGURO,ON      NM,90931801,0.933,
SANB11,SANTANDER BR,UNT,362703399,2.612,
SULA11,SUL AMERICA,UNT     N2,284771028,1.580,
Total Theorethical Quantity,,,26611391470,100.000
Reductor,,,46924265.01355903
