IMAT - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
BRAP4,BRADESPAR,PN      N1,222604507,6.150,
BRKM5,BRASKEM,PNA     N1,264642296,8.265,
CMIN3,CSNMINERACAO,ON      N2,1216466645,3.319,
DXCO3,DEXCO,ON      NM,272062873,2.263,
DEXP3,DEXXOS PAR,ON      N1,53766810,0.309,
FESA4,FERBASA,PN  EJ  N1,40165900,1.013,
GGBR4,GERDAU,PN      N1,1097534498,13.023,
GOAU4,GERDAU MET,PN      N1,698275321,3.816,
RANI3,IRANI,ON      NM,106103165,0.308,
KLBN11,KLABIN S/A,UNT     N2,812994397,8.759,
PMAM3,PARANAPANEMA,ON      NM,43403849,0.216,
CSNA3,SID NACIONAL,ON,642398790,9.031,
SUZB3,SUZANO S.A.,ON      NM,726779281,17.894,
UNIP6,UNIPAR,PNB,44861678,1.821,
USIM3,USIMINAS,ON      N1,161021803,1.050,
USIM5,USIMINAS,PNA     N1,514680651,3.401,
VALE3,VALE,ON      NM,489909783,19.362,
Total Theorethical Quantity,,,7407672247,100.000
Reductor,,,37200907.65118355
