IMOB - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
ALSO3,ALIANSCSONAE,ON      NM,126260263,6.374,
BBRK3,BR BROKERS,ON      NM,77941395,0.344,
BRML3,BR MALLS PAR,ON      NM,843728684,15.493,
BRPR3,BR PROPERT,ON      NM,187579163,3.416,
CURY3,CURY S/A,ON      NM,104486454,1.815,
CYRE3,CYRELA REALT,ON      NM,281609283,11.936,
DIRR3,DIRECIONAL,ON      NM,75384053,1.972,
EVEN3,EVEN,ON      NM,199399963,3.386,
EZTC3,EZTEC,ON      NM,101618236,5.607,
GFSA3,GAFISA,ON      NM,118208091,0.746,
HBOR3,HELBOR,ON      NM,65306596,0.874,
IGTA3,IGUATEMI,ON      NM,85748277,5.916,
JPSA3,JEREISSATI,ON,34771251,2.064,
JHSF3,JHSF PART,ON      NM,305915142,4.109,
LAVV3,LAVVI,ON      NM,93139429,1.293,
LOGG3,LOG COM PROP,ON      NM,59190591,3.689,
LPSB3,LOPES BRASIL,ON      NM,114874308,0.798,
MELK3,MELNICK,ON      NM,76155470,0.685,
MTRE3,MITRE REALTY,ON      NM,54034454,0.970,
MRVE3,MRV,ON      NM,294643879,8.766,
MULT3,MULTIPLAN,ON      N2,273506645,11.881,
PLPL3,PLANOEPLANO,ON      NM,66384300,0.550,
SYNE3,SYN PROP TEC,ON      NM,59660124,1.391,
TCSA3,TECNISA,ON      NM,52380706,0.616,
TEND3,TENDA,ON      NM,96139516,3.955,
TRIS3,TRISUL,ON      NM,83225626,1.354,
Total Theorethical Quantity,,,3931291899,100.000
Reductor,,,57620035.64351360
