INDX - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
AERI3,AERIS,ON      NM,218058827,0.431,
ALPA4,ALPARGATAS,PN      N1,167963777,2.057,
ABEV3,AMBEV S/A,ON,4358814864,14.959,
BRKM5,BRASKEM,PNA     N1,264642296,3.913,
BRFS3,BRF SA,ON      NM,811759800,4.083,
CAML3,CAMIL,ON      NM,114319945,0.232,
HGTX3,CIA HERING,ON      NM,117608748,0.964,
CYRE3,CYRELA REALT,ON      NM,281609283,1.180,
DXCO3,DEXCO,ON      NM,272062873,1.072,
DIRR3,DIRECIONAL,ON      NM,75384053,0.194,
EMBR3,EMBRAER,ON      NM,734558205,3.321,
EVEN3,EVEN,ON      NM,199399963,0.335,
EZTC3,EZTEC,ON      NM,101618236,0.554,
GFSA3,GAFISA,ON      NM,118208091,0.074,
GGBR4,GERDAU,PN      N1,1097534498,6.165,
GOAU4,GERDAU MET,PN      N1,698275321,1.807,
GRND3,GRENDENE,ON      NM,268367380,0.573,
NTCO3,GRUPO NATURA,ON      NM,843870809,8.540,
HBOR3,HELBOR,ON      NM,65306596,0.086,
ROMI3,INDS ROMI,ON      NM,37272660,0.171,
INTB3,INTELBRAS,ON      NM,82226741,0.532,
MYPK3,IOCHP-MAXION,ON      NM,137561133,0.465,
JBSS3,JBS,ON      NM,1346828080,9.465,
JHSF3,JHSF PART,ON      NM,305915142,0.406,
KLBN11,KLABIN S/A,UNT     N2,812994397,4.146,
MDIA3,M.DIASBRANCO,ON  EJ  NM,83169222,0.550,
POMO4,MARCOPOLO,PN      N2,557765916,0.319,
MRFG3,MARFRIG,ON  ED  NM,348234011,1.603,
BEEF3,MINERVA,ON      NM,242962308,0.509,
MRVE3,MRV,ON      NM,294643879,0.866,
PTBL3,PORTOBELLO,ON      NM,66269176,0.167,
POSI3,POSITIVO TEC,ON      NM,78053723,0.211,
RAPT4,RANDON PART,PN      N1,177628801,0.456,
SMTO3,SAO MARTINHO,ON      NM,142845106,0.992,
CSNA3,SID NACIONAL,ON,642398790,4.276,
SUZB3,SUZANO S.A.,ON      NM,726779281,8.471,
TASA4,TAURUS ARMAS,PN      N2,62034762,0.301,
TEND3,TENDA,ON      NM,96139516,0.391,
TUPY3,TUPY,ON      NM,67547494,0.283,
USIM5,USIMINAS,PNA     N1,514680651,1.610,
VIVA3,VIVARA S.A.,ON      NM,99446859,0.664,
WEGE3,WEG,ON      NM,1484859030,12.606,
Total Theorethical Quantity,,,19217620243,100.000
Reductor,,,18299990.72866206
