IVBX - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
AMER3,AMERICANAS,ON      NM,546064815,2.337,
AZUL4,AZUL,PN      N2,327741172,1.307,
BIDI11,BANCO INTER,UNT     N2,477617336,3.493,
BBSE3,BBSEGURIDADE,ON      NM,671629692,1.477,
BRML3,BR MALLS PAR,ON      NM,843728684,0.816,
BRAP4,BRADESPAR,PN      N1,222604507,1.551,
BRKM5,BRASKEM,PNA     N1,264642296,2.084,
BRFS3,BRF SA,ON      NM,811759800,2.175,
CRFB3,CARREFOUR BR,ON      NM,410988561,0.845,
CCRO3,CCR SA,ON      NM,1115693556,1.447,
CMIG4,CEMIG,PN      N1,1114214662,1.740,
CIEL3,CIELO,ON      NM,1144359228,0.327,
COGN3,COGNA ON,ON      NM,1847994874,0.637,
CSAN3,COSAN,ON      NM,1169237744,3.134,
CVCB3,CVC BRASIL,ON      NM,224571661,0.543,
CYRE3,CYRELA REALT,ON      NM,281609283,0.628,
ELET3,ELETROBRAS,ON      N1,358028908,1.529,
EMBR3,EMBRAER,ON      NM,734558205,1.769,
EQTL3,EQUATORIAL,ON      NM,1010511085,2.938,
GGBR4,GERDAU,PN      N1,1097534498,3.284,
GOAU4,GERDAU MET,PN      N1,698275321,0.962,
GOLL4,GOL,PN      N2,167095214,0.378,
NTCO3,GRUPO NATURA,ON      NM,843870809,4.549,
HAPV3,HAPVIDA,ON      NM,1306939210,2.263,
HYPE3,HYPERA,ON      NM,411803359,1.565,
GNDI3,INTERMEDICA,ON      NM,592114608,5.663,
IRBR3,IRBBRASIL RE,ON      NM,1255286531,0.750,
ITSA4,ITAUSA,PN      N1,4515559175,5.691,
JBSS3,JBS,ON      NM,1346828080,5.041,
KLBN11,KLABIN S/A,UNT     N2,812994397,2.209,
RENT3,LOCALIZA,ON      NM,593944309,3.852,
LWSA3,LOCAWEB,ON      NM,431783548,1.178,
LAME4,LOJAS AMERIC,PN      N1,853524256,0.544,
LREN3,LOJAS RENNER,ON      NM,889725318,3.756,
MRFG3,MARFRIG,ON  ED  NM,348234011,0.854,
BEEF3,MINERVA,ON      NM,242962308,0.271,
MULT3,MULTIPLAN,ON      N2,273506645,0.626,
PCAR3,P.ACUCAR-CBD,ON      NM,156946474,0.477,
BRDT3,PETROBRAS BR,ON  EJ  NM,1164602565,3.379,
PRIO3,PETRORIO,ON      NM,839159130,1.987,
QUAL3,QUALICORP,ON      NM,283670037,0.739,
RADL3,RAIADROGASIL,ON      NM,1071076905,3.168,
RAIL3,RUMO S.A.,ON      NM,1216056103,2.435,
SBSP3,SABESP,ON      NM,340001934,1.353,
SULA11,SUL AMERICA,UNT     N2,284771028,0.908,
SUZB3,SUZANO S.A.,ON      NM,726779281,4.512,
VIVT3,TELEF BRASIL,ON,443933052,2.088,
TOTS3,TOTVS,ON      NM,480960677,2.115,
UGPA3,ULTRAPAR,ON      NM,1084337016,1.770,
USIM5,USIMINAS,PNA     N1,514680651,0.856,
Total Theorethical Quantity,,,38866512519,100.000
Reductor,,,56034333.96207087
