MLCX - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
ALPA4,ALPARGATAS,PN      N1,167963777,0.416,
ABEV3,AMBEV S/A,ON,4358814864,3.022,
AMER3,AMERICANAS,ON      NM,546064815,0.886,
ASAI3,ASSAI,ON      NM,794116430,0.654,
B3SA3,B3,ON      NM,6079530858,3.690,
BIDI4,BANCO INTER,PN      N2,186303277,0.168,
BIDI11,BANCO INTER,UNT     N2,477617336,1.325,
BPAN4,BANCO PAN,PN      N1,341124068,0.252,
BBSE3,BBSEGURIDADE,ON      NM,671629692,0.560,
BBDC3,BRADESCO,ON      N1,1378842305,1.054,
BBDC4,BRADESCO,PN      N1,4691427537,4.189,
BRAP4,BRADESPAR,PN      N1,222604507,0.588,
BBAS3,BRASIL,ON  EJ  NM,1420530937,1.799,
BRKM5,BRASKEM,PNA     N1,264642296,0.791,
BRFS3,BRF SA,ON      NM,811759800,0.825,
BPAC11,BTGP BANCO,UNT     N2,1301655996,1.530,
CXSE3,CAIXA SEGURI,ON      NM,517500000,0.202,
CRFB3,CARREFOUR BR,ON      NM,410988561,0.320,
CCRO3,CCR SA,ON      NM,1115693556,0.549,
CMIG3,CEMIG,ON      N1,277516331,0.196,
CMIG4,CEMIG,PN      N1,1114214662,0.660,
CPLE3,COPEL,ON      N1,319774264,0.080,
CPLE6,COPEL,PNB     N1,1563365506,0.462,
CSAN3,COSAN,ON      NM,1169237744,1.189,
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.223,
CMIN3,CSNMINERACAO,ON      N2,1216466645,0.317,
DXCO3,DEXCO,ON      NM,272062873,0.217,
ELET3,ELETROBRAS,ON      N1,358028908,0.580,
ELET6,ELETROBRAS,PNB     N1,242987127,0.399,
EMBR3,EMBRAER,ON      NM,734558205,0.671,
ENGI11,ENERGISA,UNT     N2,248542219,0.462,
ENEV3,ENEVA,ON      NM,1261568398,0.905,
EGIE3,ENGIE BRASIL,ON      NM,255217329,0.427,
EQTL3,EQUATORIAL,ON      NM,1010511085,1.114,
GGBR4,GERDAU,PN      N1,1097534498,1.245,
GMAT3,GRUPO MATEUS,ON      NM,463952163,0.133,
NTCO3,GRUPO NATURA,ON      NM,843870809,1.725,
HAPV3,HAPVIDA,ON      NM,1306939210,0.858,
HYPE3,HYPERA,ON      NM,411803359,0.594,
GNDI3,INTERMEDICA,ON      NM,592114608,2.148,
ITSA4,ITAUSA,PN      N1,4515559175,2.158,
ITUB3,ITAUUNIBANCO,ON      N1,385293206,0.440,
ITUB4,ITAUUNIBANCO,PN      N1,4780002924,5.856,
JBSS3,JBS,ON      NM,1346828080,1.912,
KLBN11,KLABIN S/A,UNT     N2,812994397,0.838,
RENT3,LOCALIZA,ON      NM,593944309,1.461,
LREN3,LOJAS RENNER,ON      NM,889725318,1.425,
MGLU3,MAGAZ LUIZA,ON      NM,2820185158,1.984,
NEOE3,NEOENERGIA,ON      NM,226098192,0.153,
PETR3,PETROBRAS,ON      N2,3684060179,4.231,
PETR4,PETROBRAS,PN      N2,4566511125,5.123,
BRDT3,PETROBRAS BR,ON  EJ  NM,1164602565,1.282,
PRIO3,PETRORIO,ON      NM,839159130,0.754,
PSSA3,PORTO SEGURO,ON      NM,90931801,0.203,
RADL3,RAIADROGASIL,ON      NM,1071076905,1.202,
RDOR3,REDE D OR,ON  EDJ NM,929901433,2.795,
RAIL3,RUMO S.A.,ON      NM,1216056103,0.924,
SBSP3,SABESP,ON      NM,340001934,0.513,
SANB11,SANTANDER BR,UNT,362703399,0.569,
CSNA3,SID NACIONAL,ON,642398790,0.864,
SUZB3,SUZANO S.A.,ON      NM,726779281,1.711,
VIVT3,TELEF BRASIL,ON,443933052,0.792,
TIMS3,TIM,ON      NM,808619532,0.425,
TOTS3,TOTVS,ON      NM,480960677,0.802,
TRPL4,TRAN PAULIST,PN      N1,395797044,0.427,
UGPA3,ULTRAPAR,ON      NM,1084337016,0.671,
USIM3,USIMINAS,ON      N1,161021803,0.100,
USIM5,USIMINAS,PNA     N1,514680651,0.325,
VALE3,VALE,ON      NM,5119956209,19.352,
VAMO3,VAMOS,ON      NM,200729920,0.139,
VIIA3,VIA,ON      NM,1595895585,0.596,
WEGE3,WEG,ON      NM,1484859030,2.548,
Total Theorethical Quantity,,,85002413016,100.000
Reductor,,,1047805938.92497385
