SMLL - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
RRRP3,3R PETROLEUM,ON      NM,129500588,1.331,
ABCB4,ABC BRASIL,PN      N2,69079780,0.308,
AERI3,AERIS,ON      NM,218058827,0.581,
AESB3,AES BRASIL,ON      NM,218241191,0.855,
ALSO3,ALIANSCSONAE,ON      NM,126260263,0.850,
AALR3,ALLIAR,ON      NM,43756055,0.151,
ALUP11,ALUPAR,UNT     N2,138342085,0.998,
AMBP3,AMBIPAR,ON      NM,43854659,0.758,
ANIM3,ANIMA,ON      NM,289500543,0.785,
ARZZ3,AREZZO CO,ON      NM,53951069,1.300,
AZUL4,AZUL,PN      N2,327741172,3.310,
BMGB4,BANCO BMG,PN      N1,100300860,0.109,
BRSR6,BANRISUL,PNB     N1,202522840,0.703,
BMOB3,BEMOBI TECH,ON      NM,86869818,0.486,
BKBR3,BK BRASIL,ON      NM,272245759,0.716,
BOAS3,BOA VISTA,ON      NM,531381332,1.861,
BRML3,BR MALLS PAR,ON      NM,843728684,2.067,
BRPR3,BR PROPERT,ON      NM,187579163,0.456,
AGRO3,BRASILAGRO,ON      NM,51771532,0.435,
CAML3,CAMIL,ON      NM,114319945,0.313,
CEAB3,CEA MODAS,ON      NM,106394635,0.263,
CESP6,CESP,PNB     N1,182017689,1.260,
HGTX3,CIA HERING,ON      NM,117608748,1.301,
CIEL3,CIELO,ON      NM,1144359228,0.828,
COGN3,COGNA ON,ON      NM,1847994874,1.613,
CSMG3,COPASA,ON      NM,188444559,0.781,
CARD3,CSU CARDSYST,ON      NM,18217771,0.106,
CURY3,CURY S/A,ON      NM,104486454,0.242,
CVCB3,CVC BRASIL,ON      NM,224571661,1.377,
CYRE3,CYRELA REALT,ON      NM,281609283,1.592,
DEXP3,DEXXOS PAR,ON      N1,53766810,0.198,
PNVL3,DIMED,ON      N2,71745377,0.331,
DIRR3,DIRECIONAL,ON      NM,75384053,0.263,
ECOR3,ECORODOVIAS,ON      NM,339237914,0.942,
ENAT3,ENAUTA PART,ON      NM,76634938,0.275,
ENBR3,ENERGIAS BR,ON      NM,231489471,1.206,
ENJU3,ENJOEI,ON      NM,158821493,0.229,
ESPA3,ESPACOLASER,ON  EDJ NM,161437857,0.823,
EVEN3,EVEN,ON      NM,199399963,0.452,
EZTC3,EZTEC,ON      NM,101618236,0.748,
FESA4,FERBASA,PN  EJ  N1,40165900,0.647,
FLRY3,FLEURY,ON      NM,303005900,2.119,
GFSA3,GAFISA,ON      NM,118208091,0.099,
GOAU4,GERDAU MET,PN      N1,698275321,2.438,
GOLL4,GOL,PN      N2,167095214,0.957,
GRND3,GRENDENE,ON      NM,268367380,0.774,
SBFG3,GRUPO SBF,ON      NM,95476145,0.872,
SOMA3,GRUPO SOMA,ON      NM,230050155,1.171,
GUAR3,GUARARAPES,ON,81934660,0.338,
HBOR3,HELBOR,ON      NM,65306596,0.117,
HBSA3,HIDROVIAS,ON      NM,760109566,0.956,
IGTA3,IGUATEMI,ON      NM,85748277,0.789,
PARD3,IHPARDINI,ON      NM,41617930,0.294,
MEAL3,IMC S/A,ON      NM,264997832,0.252,
ROMI3,INDS ROMI,ON      NM,37272660,0.230,
INTB3,INTELBRAS,ON      NM,82226741,0.718,
MYPK3,IOCHP-MAXION,ON      NM,137561133,0.628,
RANI3,IRANI,ON      NM,106103165,0.197,
IRBR3,IRBBRASIL RE,ON      NM,1255286531,1.899,
JPSA3,JEREISSATI,ON,34771251,0.275,
JHSF3,JHSF PART,ON      NM,305915142,0.548,
KEPL3,KEPLER WEBER,ON,30332816,0.392,
LAVV3,LAVVI,ON      NM,93139429,0.172,
LIGT3,LIGHT S/A,ON      NM,372555324,1.484,
LCAM3,LOCAMERICA,ON      NM,324522975,2.352,
LWSA3,LOCAWEB,ON      NM,431783548,2.985,
LOGG3,LOG COM PROP,ON      NM,59190591,0.492,
LOGN3,LOG-IN,ON      NM,100340344,0.576,
LAME3,LOJAS AMERIC,ON      N1,246443270,0.370,
LAME4,LOJAS AMERIC,PN      N1,853524256,1.377,
AMAR3,LOJAS MARISA,ON      NM,111646974,0.186,
LPSB3,LOPES BRASIL,ON      NM,114874308,0.106,
MDIA3,M.DIASBRANCO,ON  EJ  NM,83169222,0.742,
POMO4,MARCOPOLO,PN      N2,557765916,0.431,
MRFG3,MARFRIG,ON  ED  NM,348234011,2.163,
CASH3,MELIUZ,ON  EB  NM,543488802,1.150,
LEVE3,METAL LEVE,ON      NM,38492518,0.423,
MILS3,MILLS,ON      NM,113954358,0.216,
BEEF3,MINERVA,ON      NM,242962308,0.686,
MTRE3,MITRE REALTY,ON      NM,54034454,0.130,
MOSI3,MOSAICO,ON      NM,67808642,0.229,
MOVI3,MOVIDA,ON      NM,133440549,0.703,
MRVE3,MRV,ON      NM,294643879,1.169,
MULT3,MULTIPLAN,ON      N2,273506645,1.585,
NGRD3,NEOGRID,ON      NM,109743428,0.164,
