UTIL - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
AESB3,AES BRASIL,ON      NM,218241191,1.518,
ALUP11,ALUPAR,UNT     N2,138342085,1.771,
AMBP3,AMBIPAR,ON      NM,43854659,1.344,
CMIG3,CEMIG,ON      N1,277516331,2.324,
CMIG4,CEMIG,PN      N1,1114214662,7.823,
CESP6,CESP,PNB     N1,182017689,2.237,
CSMG3,COPASA,ON      NM,188444559,1.385,
CPLE3,COPEL,ON      N1,319774264,0.951,
CPLE6,COPEL,PNB     N1,1563365506,5.472,
CPFE3,CPFL ENERGIA,ON      NM,187732538,2.647,
ELET3,ELETROBRAS,ON      N1,358028908,6.875,
ELET6,ELETROBRAS,PNB     N1,242987127,4.729,
ENBR3,ENERGIAS BR,ON      NM,231489471,2.141,
ENGI11,ENERGISA,UNT     N2,248542219,5.473,
ENEV3,ENEVA,ON      NM,1261568398,10.721,
EGIE3,ENGIE BRASIL,ON      NM,255217329,5.058,
EQTL3,EQUATORIAL,ON      NM,1010511085,13.206,
LIGT3,LIGHT S/A,ON      NM,372555324,2.633,
NEOE3,NEOENERGIA,ON      NM,226098192,1.814,
OMGE3,OMEGA GER,ON      NM,122904609,2.261,
SBSP3,SABESP,ON      NM,340001934,6.080,
SAPR4,SANEPAR,PN      N2,203163265,0.394,
SAPR11,SANEPAR,UNT     N2,201076373,1.928,
TAEE11,TAESA,UNT     N2,218568234,4.158,
TRPL4,TRAN PAULIST,PN      N1,395797044,5.057,
Total Theorethical Quantity,,,9922012996,100.000
Reductor,,,22750962.54354220
