ICO2 - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
ABEV3,AMBEV S/A,ON,4763102595,4.909,
AMER3,AMERICANAS,ON      NM,772885342,1.865,
ASAI3,ASSAI,ON      NM,1331254208,1.630,
B3SA3,B3,ON      NM,6782139935,6.118,
BIDI4,BANCO INTER,PN      N2,651141835,0.872,
BIDI11,BANCO INTER,UNT     N2,630397556,2.600,
BRML3,BR MALLS PAR,ON      NM,829351173,0.452,
BBDC3,BRADESCO,ON      N1,1886531795,2.144,
BBDC4,BRADESCO,PN      N1,5131077672,6.809,
BBAS3,BRASIL,ON  EJ  NM,1753790138,3.302,
BRKM5,BRASKEM,PNA     N1,138850191,0.616,
BRFS3,BRF SA,ON      NM,701989943,1.061,
BPAC11,BTGP BANCO,UNT     N2,1662784173,2.905,
CCRO3,CCR SA,ON      NM,1816178345,1.329,
CMIG4,CEMIG,PN      N1,1585613233,1.396,
CIEL3,CIELO,ON      NM,962047347,0.155,
CPLE6,COPEL,PNB     N1,2652612984,1.164,
CSAN3,COSAN,ON      NM,1608859310,2.431,
CPFE3,CPFL ENERGIA,ON      NM,453292130,0.801,
DXCO3,DEXCO,ON      NM,272062873,0.322,
ECOR3,ECORODOVIAS,ON      NM,1205018751,0.745,
ELET3,ELETROBRAS,ON      N1,285926826,0.689,
ELET6,ELETROBRAS,PNB     N1,194052872,0.474,
ENBR3,ENERGIAS BR,ON      NM,139613755,0.162,
EGIE3,ENGIE BRASIL,ON      NM,68953855,0.171,
FLRY3,FLEURY,ON      NM,716037036,1.114,
GGBR4,GERDAU,PN      N1,432305243,0.729,
GOLL4,GOL,PN      N2,65636432,0.084,
NTCO3,GRUPO NATURA,ON      NM,1025749170,3.117,
HYPE3,HYPERA,ON      NM,237229321,0.508,
ITSA4,ITAUSA,PN      N1,676256378,0.480,
ITUB4,ITAUUNIBANCO,PN      N1,5107477791,9.300,
JBSS3,JBS,ON      NM,899408167,1.898,
KLBN11,KLABIN S/A,UNT     N2,699988412,1.072,
LIGT3,LIGHT S/A,ON      NM,918143355,0.814,
RENT3,LOCALIZA,ON      NM,322017195,1.178,
LCAM3,LOCAMERICA,ON      NM,737401023,1.189,
LAME3,LOJAS AMERIC,ON      N1,228108788,0.076,
LAME4,LOJAS AMERIC,PN      N1,790025162,0.284,
LREN3,LOJAS RENNER,ON      NM,702811990,1.673,
MGLU3,MAGAZ LUIZA,ON      NM,3349614350,3.503,
MRFG3,MARFRIG,ON  ED  NM,668526473,0.924,
BEEF3,MINERVA,ON      NM,1219458384,0.767,
MOVI3,MOVIDA,ON      NM,685210064,0.803,
MRVE3,MRV,ON      NM,1010080984,0.892,
MULT3,MULTIPLAN,ON      N2,582812593,0.751,
PCAR3,P.ACUCAR-CBD,ON      NM,483284294,0.829,
PETR3,PETROBRAS,ON      N2,1028175778,1.756,
PETR4,PETROBRAS,PN      N2,1274456958,2.125,
BRDT3,PETROBRAS BR,ON  EJ  NM,1525608702,2.495,
PSSA3,PORTO SEGURO,ON      NM,63942224,0.213,
RADL3,RAIADROGASIL,ON      NM,1447697370,2.414,
RAIL3,RUMO S.A.,ON      NM,936887655,1.058,
SAPR11,SANEPAR,UNT     N2,93237955,0.112,
SANB11,SANTANDER BR,UNT,605430242,1.412,
SULA11,SUL AMERICA,UNT     N2,639705437,1.149,
SUZB3,SUZANO S.A.,ON      NM,629314431,2.203,
VIVT3,TELEF BRASIL,ON,318942196,0.846,
TIMS3,TIM,ON      NM,1598234188,1.248,
UGPA3,ULTRAPAR,ON      NM,1608279509,1.480,
WEGE3,WEG,ON      NM,1718892948,4.382,
Total Theorethical Quantity,,,73325917035,100.000
Reductor,,,682889200.12743496
