ISEE - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
AESB3,AES BRASIL,ON      NM,218241191,0.498,
AMER3,AMERICANAS,ON      NM,546064815,3.444,
ASAI3,ASSAI,ON      NM,794116430,2.541,
BBDC3,BRADESCO,ON      N1,289963141,0.862,
BBDC4,BRADESCO,PN      N1,986582049,3.423,
BBAS3,BRASIL,ON  EJ  NM,298730037,1.470,
BRFS3,BRF SA,ON      NM,811759800,3.205,
BPAC11,BTGP BANCO,UNT     N2,273731274,1.250,
CCRO3,CCR SA,ON      NM,1115693556,2.134,
CMIG3,CEMIG,ON      N1,277516331,0.762,
CMIG4,CEMIG,PN      N1,1114214662,2.565,
CIEL3,CIELO,ON      NM,1144359228,0.481,
CPLE3,COPEL,ON      N1,319774264,0.312,
CPLE6,COPEL,PNB     N1,1563365506,1.794,
CSAN3,COSAN,ON      NM,384413147,1.519,
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.867,
DXCO3,DEXCO,ON      NM,272062873,0.841,
ECOR3,ECORODOVIAS,ON      NM,339237914,0.548,
ELET3,ELETROBRAS,ON      N1,358028908,2.254,
ELET6,ELETROBRAS,PNB     N1,242987127,1.550,
ENBR3,ENERGIAS BR,ON      NM,231489471,0.702,
EGIE3,ENGIE BRASIL,ON      NM,255217329,1.658,
FLRY3,FLEURY,ON      NM,303005900,1.233,
NTCO3,GRUPO NATURA,ON      NM,843870809,6.704,
ITSA4,ITAUSA,PN      N1,949597875,1.764,
ITUB3,ITAUUNIBANCO,ON      N1,81025094,0.360,
ITUB4,ITAUUNIBANCO,PN      N1,1005208977,4.785,
KLBN11,KLABIN S/A,UNT     N2,812994397,3.255,
LIGT3,LIGHT S/A,ON      NM,372555324,0.863,
LAME3,LOJAS AMERIC,ON      N1,246443270,0.215,
LAME4,LOJAS AMERIC,PN      N1,853524256,0.801,
LREN3,LOJAS RENNER,ON      NM,889725318,5.536,
MDIA3,M.DIASBRANCO,ON  EJ  NM,83169222,0.432,
MRFG3,MARFRIG,ON  ED  NM,348234011,1.258,
BEEF3,MINERVA,ON      NM,242962308,0.399,
MOVI3,MOVIDA,ON      NM,133440549,0.409,
MRVE3,MRV,ON      NM,294643879,0.680,
NEOE3,NEOENERGIA,ON      NM,226098192,0.595,
PCAR3,P.ACUCAR-CBD,ON      NM,156946474,0.704,
PETR3,PETROBRAS,ON      N2,1211217457,5.406,
PETR4,PETROBRAS,PN      N2,1501343008,6.545,
BRDT3,PETROBRAS BR,ON  EJ  NM,382889227,1.637,
SANB11,SANTANDER BR,UNT,76274579,0.465,
SUZB3,SUZANO S.A.,ON      NM,726779281,6.650,
VIVT3,TELEF BRASIL,ON,443933052,3.078,
TIMS3,TIM,ON      NM,808619532,1.650,
WEGE3,WEG,ON      NM,1484859030,9.896,
Total Theorethical Quantity,,,26504642612,100.000
Reductor,,,153170588.47806582
